,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.73,0.83,0.68,0.8,0.77,0.66,0.8,0.81,0.94,0.78,1.02,0.54,0.2
aubit4gl.csv,0.95,0.72,0.68,0.89,0.68,0.93,0.47,0.89,0.95,0.76,0.76,0.65,0.97
bionote.csv,0.69,0.74,0.84,0.82,0.66,0.77,0.99,0.71,0.85,0.8,0.23,0.84,0.93
liferea.csv,0.66,0.56,0.92,0.56,0.61,0.29,0.79,0.5,1.01,0.63,0.63,0.79,0.61
opensim4opencog.csv,0.54,0.37,0.92,0.51,0.52,0.46,0.77,0.58,0.89,0.7,0.61,0.6,0.58
pclasses.csv,0.64,0.22,1.0,0.82,0.93,0.93,0.99,0.68,1.0,0.94,1.01,0.82,0.71
plearn.csv,0.44,0.68,0.67,0.7,0.48,0.65,0.91,0.7,0.83,0.7,0.79,1.05,0.6
psrchive.csv,0.53,0.85,0.35,0.72,0.37,0.75,0.78,0.72,0.95,0.64,0.67,0.46,0.97
re2c.csv,0.64,0.84,0.02,0.73,0.64,0.78,0.68,0.84,0.94,0.67,0.98,0.53,0.23
rebecca-aiml.csv,0.63,1.0,0.66,0.79,0.58,0.68,0.71,0.66,0.71,0.67,0.96,0.21,0.54
thrust.csv,0.98,1.0,0.69,0.97,0.94,0.98,0.71,0.93,0.4,0.91,0.86,0.77,0.94
tzod.csv,0.55,0.8,0.7,0.53,0.61,0.63,0.64,0.59,0.85,0.66,0.52,0.8,0.74
yaprm.csv,0.57,0.62,0.85,0.64,0.6,0.92,0.69,0.71,0.69,0.51,0.67,0.84,1.03
