,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.35,0.18,0.25,0.33,0.22,0.34,0.34,0.15,0.11,0.41,0.06,0.54,0.77
aubit4gl.csv,0.09,0.24,0.27,0.18,0.28,0.11,0.69,0.1,0.09,0.37,0.24,0.46,0.06
bionote.csv,0.39,0.27,0.14,0.26,0.34,0.32,0.03,0.25,0.2,0.31,0.56,0.26,0.11
liferea.csv,0.47,0.38,0.1,0.53,0.31,0.63,0.53,0.32,0.06,0.62,0.38,0.28,0.4
opensim4opencog.csv,0.48,0.47,0.1,0.58,0.35,0.49,0.63,0.29,0.15,0.66,0.27,0.44,0.45
pclasses.csv,0.41,0.62,0.0,0.29,0.11,0.12,0.03,0.21,0.0,0.13,0.0,0.32,0.43
plearn.csv,0.56,0.28,0.23,0.39,0.38,0.37,0.16,0.2,0.24,0.53,0.17,0.29,0.54
psrchive.csv,0.49,0.15,0.5,0.38,0.48,0.35,0.68,0.2,0.09,0.56,0.25,0.55,0.06
re2c.csv,0.4,0.17,0.92,0.4,0.29,0.26,0.47,0.14,0.11,0.49,0.09,0.52,0.73
rebecca-aiml.csv,0.41,0.0,0.19,0.33,0.32,0.33,0.62,0.22,0.4,0.64,0.24,0.78,0.47
thrust.csv,0.03,0.0,0.24,0.06,0.08,0.07,0.44,0.08,0.59,0.19,0.14,0.34,0.18
tzod.csv,0.47,0.19,0.18,0.54,0.29,0.37,0.67,0.25,0.21,0.51,0.31,0.32,0.33
yaprm.csv,0.46,0.3,0.11,0.48,0.35,0.13,0.48,0.26,0.35,0.63,0.29,0.24,0.0
