,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.14,0.09,0.0,0.59,0.12,0.08,0.12,0.47,0.07,0.07,0.0
arsenal-1.csv,0.78,0.26,0.63,0.05,0.2,0.11,0.32,0.13,0.72,0.21,0.11
barracudamvc.csv,0.96,0.96,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
irplus.csv,0.59,0.13,0.0,0.32,0.56,0.18,0.32,0.2,0.41,0.48,0.51
lite.csv,0.18,0.13,0.07,0.14,0.04,0.25,0.04,0.53,0.1,0.1,0.09
mevenide.csv,0.32,0.3,0.19,0.14,0.04,0.12,0.04,0.07,0.62,0.05,0.14
mumble.csv,0.49,0.96,0.37,0.09,0.68,0.82,0.44,0.53,0.21,0.19,0.77
ontopia.csv,0.84,1.0,0.85,0.91,1.0,0.93,0.8,0.93,0.55,0.98,1.0
openintents.csv,0.41,0.61,1.0,1.0,0.44,0.61,0.88,1.0,0.38,0.67,0.71
ta3d.csv,0.46,0.17,0.85,0.14,0.32,0.26,0.4,0.2,0.1,0.21,1.0
tweetsharp.csv,0.59,0.65,1.0,0.95,0.88,0.59,0.72,0.87,0.55,0.86,0.77
