,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.42,0.7,0.89,0.92,1.0,0.82,0.63,0.72,0.71,0.49,0.84,0.68,0.65
bdbbasic.csv,1.0,0.08,0.81,0.83,0.79,0.83,0.64,0.44,0.65,0.47,0.37,0.0,0.55
foursquared.csv,0.0,0.0,0.0,0.83,0.0,0.01,0.05,0.0,0.38,0.11,0.21,0.03,0.0
impala.csv,0.91,0.58,0.52,0.5,0.42,0.53,0.61,0.56,0.58,0.79,0.84,0.61,0.8
jicarilla.csv,0.91,0.01,0.11,0.0,0.0,0.04,0.03,0.0,0.08,0.15,0.0,0.0,0.05
ng4j.csv,0.09,0.62,0.81,0.88,0.58,0.46,0.73,0.16,0.82,0.68,0.63,0.37,0.8
open-data-kit.csv,0.45,0.51,0.96,1.0,1.0,0.8,0.91,0.4,0.92,0.89,0.79,0.63,0.85
pentahoanalysistool.csv,0.27,0.33,0.7,0.75,0.47,0.38,0.16,0.2,0.29,0.11,0.11,0.71,0.3
tradelink.csv,0.73,0.47,0.93,0.83,0.26,0.87,0.71,0.92,0.81,0.13,0.84,0.16,0.8
turbotrader-bos.csv,0.0,0.67,0.7,0.46,0.63,0.2,0.27,0.44,0.72,0.21,0.63,0.18,0.4
ultimairis.csv,0.48,0.98,0.93,0.88,0.74,0.76,0.73,0.52,0.78,0.7,0.63,1.0,0.65
wikipediardware.csv,0.64,0.95,0.89,0.92,0.89,0.84,0.94,0.88,0.89,0.77,0.63,0.74,0.85
yafdotnet.csv,0.06,0.63,0.41,0.83,0.32,0.5,0.71,0.48,0.7,0.64,0.42,0.11,0.6
