,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.66,0.28,0.22,0.31,0.59,0.34,0.32,0.57,0.3,0.64,0.47,0.0,0.67,0.5,0.62,0.06,0.67,0.24,0.28,0.61
cornerstone.csv,0.53,0.29,0.32,0.38,0.38,0.48,0.33,0.52,0.15,0.17,0.68,0.54,0.54,0.42,0.31,0.72,0.66,0.23,0.24,0.38
emeraldemu.csv,0.65,0.3,0.15,0.27,0.35,0.31,0.52,0.64,0.42,0.66,0.6,0.14,0.4,0.05,0.68,0.11,0.66,0.13,0.24,0.53
grafx2.csv,0.64,0.33,0.2,0.44,0.34,0.53,0.5,0.56,0.45,0.65,0.57,0.45,0.69,0.71,0.79,0.78,0.61,0.46,0.17,0.6
jahshakafx.csv,0.68,0.34,0.18,0.31,0.5,0.43,0.42,0.57,0.56,0.59,0.63,0.29,0.7,0.61,0.77,0.8,0.66,0.48,0.23,0.55
kindb.csv,0.66,0.3,0.17,0.39,0.69,0.58,0.47,0.59,0.56,0.7,0.63,0.43,0.79,0.52,0.67,0.89,0.7,0.42,0.16,0.63
maya-work-in-progress.csv,0.53,0.28,0.17,0.44,0.89,0.63,0.47,0.54,0.57,0.82,0.69,0.53,0.8,0.79,0.79,0.8,0.74,0.53,0.09,0.65
netatalk.csv,0.53,0.25,0.11,0.23,0.49,0.65,0.46,0.5,0.54,0.61,0.59,0.36,0.77,0.69,0.82,0.81,0.65,0.53,0.1,0.57
novembre.csv,0.68,0.32,0.19,0.26,0.21,0.36,0.55,0.54,0.27,0.51,0.54,0.17,0.55,0.38,0.72,0.3,0.67,0.42,0.38,0.56
ns-3.csv,0.32,0.28,0.1,0.06,0.64,0.7,0.49,0.34,0.49,0.57,0.57,0.47,0.66,0.5,0.56,0.7,0.65,0.41,0.07,0.61
nullc.csv,0.44,0.21,0.11,0.22,0.78,0.59,0.49,0.51,0.49,0.49,0.64,0.4,0.74,0.72,0.74,0.7,0.71,0.34,0.22,0.54
open-beos.csv,0.63,0.32,0.2,0.33,0.61,0.62,0.46,0.52,0.64,0.6,0.54,0.43,0.76,0.7,0.78,0.81,0.71,0.43,0.1,0.61
pixel-commandos.csv,0.07,0.2,0.08,0.18,0.25,0.25,0.43,0.24,0.18,0.17,0.1,0.0,0.18,0.43,0.58,0.36,0.43,0.33,0.57,0.3
planeshift.csv,0.49,0.23,0.14,0.24,0.88,0.66,0.45,0.52,0.59,0.68,0.68,0.49,0.78,0.76,0.72,0.85,0.71,0.5,0.1,0.59
plee-the-bear.csv,0.65,0.29,0.27,0.06,0.41,0.61,0.41,0.4,0.54,0.62,0.56,0.44,0.69,0.61,0.69,0.7,0.6,0.43,0.15,0.51
reaper-ecad.csv,0.55,0.33,0.2,0.44,0.36,0.19,0.38,0.51,0.29,0.06,0.3,0.0,0.51,0.05,0.5,0.34,0.62,0.25,0.33,0.24
sbml.csv,0.61,0.33,0.16,0.33,0.62,0.65,0.39,0.51,0.62,0.68,0.72,0.52,0.82,0.77,0.78,0.87,0.71,0.44,0.08,0.57
unimrcp.csv,0.65,0.31,0.18,0.36,0.53,0.6,0.46,0.56,0.56,0.62,0.64,0.57,0.78,0.65,0.79,0.83,0.69,0.6,0.19,0.56
unladen-swallow.csv,0.56,0.34,0.22,0.2,0.33,0.52,0.43,0.49,0.48,0.59,0.47,0.53,0.64,0.59,0.44,0.73,0.68,0.51,0.1,0.41
xmoto.csv,0.52,0.29,0.18,0.14,0.64,0.67,0.47,0.54,0.5,0.56,0.57,0.41,0.62,0.7,0.78,0.79,0.7,0.41,0.11,0.72
