,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.0,0.0,17.0,18.0,133.0,2.0,0.0,32.0,4.0,14.0,74.0,0.0,6.0,0.0,0.0
e-bio-flow.csv,3.0,3.0,9.0,1.0,133.0,0.0,0.0,13.0,1.0,11.0,4.0,1.0,124.0,0.0,0.0
haggle.csv,4.0,12.0,8.0,1.0,4.0,0.0,0.0,10.0,3.0,2.0,74.0,0.0,124.0,1.0,0.0
hannosset.csv,77.0,105.0,1.0,431.0,133.0,114.0,0.0,224.0,70.0,56.0,0.0,0.0,124.0,0.0,3.0
jas.csv,77.0,105.0,94.0,431.0,133.0,114.0,1.0,2.0,70.0,56.0,74.0,367.0,0.0,0.0,0.0
jbpm.csv,0.0,10.0,94.0,0.0,133.0,2.0,1.0,224.0,70.0,56.0,74.0,0.0,1.0,1.0,0.0
jgossipforum.csv,77.0,1.0,94.0,431.0,133.0,114.0,0.0,0.0,70.0,56.0,74.0,367.0,124.0,1.0,191.0
joustsim.csv,2.0,12.0,5.0,2.0,133.0,1.0,1.0,224.0,0.0,8.0,74.0,0.0,1.0,1.0,0.0
log4net.csv,77.0,105.0,94.0,431.0,0.0,114.0,81.0,224.0,70.0,56.0,74.0,367.0,124.0,64.0,191.0
madman.csv,77.0,0.0,1.0,431.0,133.0,0.0,2.0,224.0,0.0,0.0,74.0,2.0,124.0,4.0,2.0
ngl.csv,5.0,0.0,23.0,15.0,36.0,0.0,2.0,28.0,5.0,12.0,6.0,0.0,16.0,0.0,0.0
nunit.csv,1.0,0.0,8.0,3.0,133.0,2.0,2.0,27.0,2.0,8.0,74.0,0.0,10.0,0.0,0.0
piccolo2d.csv,77.0,7.0,0.0,10.0,133.0,0.0,0.0,224.0,2.0,2.0,74.0,1.0,124.0,0.0,2.0
sblim.csv,77.0,0.0,94.0,5.0,133.0,114.0,0.0,224.0,70.0,56.0,0.0,0.0,124.0,0.0,0.0
wsmt.csv,1.0,16.0,94.0,1.0,133.0,0.0,6.0,224.0,70.0,56.0,74.0,0.0,20.0,0.0,0.0
