,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.54,0.6,0.76,0.99,0.86,0.77,0.89,0.67,0.88,0.88,0.67,0.68,0.96,0.43,0.93
e-bio-flow.csv,0.86,0.83,0.59,0.97,0.97,0.75,0.62,0.96,0.86,0.53,0.88,0.97,0.95,0.8,0.96
haggle.csv,0.51,0.7,0.93,0.97,0.94,0.58,0.8,0.95,0.83,0.86,0.67,0.58,0.83,0.8,0.94
hannosset.csv,0.0,0.0,0.67,0.88,0.89,0.0,0.8,0.0,0.0,0.0,0.83,0.88,0.5,0.75,0.89
jas.csv,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.86,0.0,0.0,0.0,0.0,0.88,0.0,0.5
jbpm.csv,0.8,0.65,0.86,0.98,0.95,0.8,0.88,0.95,0.5,0.0,0.67,0.92,0.92,0.82,0.98
jgossipforum.csv,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.56,0.0
joustsim.csv,0.42,0.85,0.9,0.98,0.57,0.41,0.58,0.86,0.82,0.45,0.45,0.49,0.94,0.83,0.91
log4net.csv,0.0,0.0,0.0,0.5,0.67,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.67,0.8,0.67,0.94,0.67,0.88,0.89,0.0,0.0,0.88,0.89,0.93,0.0,0.8,0.67
ngl.csv,0.48,0.62,0.43,0.5,0.51,0.6,0.38,0.53,0.45,0.47,0.52,0.56,0.59,0.44,0.55
nunit.csv,0.5,0.61,0.87,0.94,0.97,0.95,0.71,0.75,0.71,0.92,0.86,0.96,0.88,0.41,0.92
piccolo2d.csv,0.5,0.9,0.92,0.92,0.88,0.0,0.67,0.5,0.67,0.67,0.0,0.91,0.0,0.5,0.89
sblim.csv,0.0,0.81,0.67,0.93,0.89,0.0,0.86,0.67,0.0,0.5,0.0,0.86,0.5,0.0,0.92
wsmt.csv,0.86,0.97,0.95,0.98,0.84,0.88,0.9,0.98,0.94,0.5,0.0,0.92,0.96,0.61,0.97
