,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.73,0.47,0.13,0.5,0.33,0.67,0.5,0.17,0.35,0.01,0.41,0.41,0.45,0.79
biopax.csv,0.57,0.28,0.11,0.43,0.23,0.55,0.22,0.1,0.35,0.02,0.42,0.38,0.41,0.98
gnupdate.csv,0.62,0.37,0.14,0.47,0.2,0.56,0.5,0.06,0.31,0.0,0.55,0.41,0.54,0.86
les-indemodables.csv,0.68,0.27,0.12,0.48,0.37,0.47,0.18,0.14,0.35,0.02,0.4,0.58,0.5,0.82
openxava.csv,0.78,0.24,0.21,0.15,0.2,0.46,0.02,0.17,0.3,0.04,0.58,0.47,0.38,0.69
ppcboot.csv,0.53,0.33,0.11,0.42,0.21,0.72,0.19,0.12,0.36,0.02,0.42,0.36,0.41,0.8
repositorium.csv,0.5,0.17,0.1,0.33,0.02,0.52,0.0,0.24,0.1,0.03,0.43,0.31,0.36,0.68
rsyslog.csv,0.79,0.29,0.09,0.42,0.32,0.5,0.37,0.13,0.4,0.03,0.53,0.41,0.41,0.82
simplewebservices.csv,0.52,0.26,0.13,0.45,0.2,0.53,0.19,0.09,0.31,0.03,0.43,0.36,0.57,0.85
ultimairis.csv,0.57,0.3,0.13,0.51,0.27,0.53,0.19,0.5,0.58,0.0,0.3,0.8,0.42,0.87
vars-redux.csv,0.67,0.29,0.11,0.6,0.39,0.55,0.16,0.14,0.35,0.02,0.43,0.36,0.44,0.97
wow-qrsk.csv,1.0,0.37,0.15,0.62,0.44,0.71,0.67,0.0,0.25,0.03,0.33,0.4,0.58,0.85
wxstudio.csv,0.59,0.18,0.23,0.45,0.08,0.43,0.09,0.16,0.19,0.0,0.7,0.23,0.33,0.58
xqilla.csv,1.0,0.09,0.67,0.37,0.15,0.38,0.08,0.07,0.21,0.3,0.62,1.0,0.5,0.5
