,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.77,0.76,0.65,0.79,0.03,0.6,0.84,0.67,0.94,0.72,1.0,0.83,0.64,0.77
flylinkdc.csv,0.0,0.74,0.49,0.66,0.73,0.61,0.39,0.64,0.65,0.6,1.01,0.83,0.65,0.68
grisbi.csv,0.66,0.79,0.65,0.93,0.6,0.9,0.93,0.91,0.02,0.93,0.78,0.43,0.77,0.77
jaolt.csv,0.52,0.63,0.57,0.71,0.6,0.66,0.5,0.63,0.44,0.03,0.81,0.66,0.76,0.6
maidsafe-dht.csv,0.68,0.89,0.0,0.94,0.67,0.87,0.68,0.85,0.94,0.63,0.71,0.87,0.87,0.74
mimosa.csv,0.91,0.7,0.8,0.56,0.65,0.65,0.97,0.05,0.87,0.75,0.79,0.81,0.71,0.59
n2cms.csv,0.8,0.06,0.61,0.67,0.84,0.78,0.77,0.62,0.78,0.65,1.0,0.86,0.98,0.68
nassp.csv,0.74,0.84,0.65,0.66,0.86,0.78,0.08,0.81,0.88,0.73,1.0,0.91,0.75,0.93
nug.csv,1.0,0.78,0.82,0.12,0.89,0.81,0.5,0.81,1.05,0.97,0.62,1.03,0.88,0.93
quantlib.csv,0.92,0.85,0.79,0.77,0.8,0.84,0.68,0.77,0.8,0.89,0.91,0.8,0.0,0.91
red5.csv,0.83,0.71,0.54,0.54,0.93,0.02,0.6,0.71,1.08,0.78,0.97,1.0,0.75,0.45
super-tux.csv,0.99,0.79,0.99,1.0,0.97,0.85,1.0,0.59,1.0,0.94,1.0,0.0,1.0,0.7
tcvp.csv,0.93,0.74,0.94,0.68,0.88,0.8,0.81,0.93,0.9,0.91,0.0,0.98,0.64,0.96
zxing.csv,0.62,0.82,0.51,0.87,0.64,0.83,0.46,0.9,0.65,0.79,0.61,0.66,0.91,0.02
