,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.96,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.73,1.0,0.91,0.89,1.0,0.98,0.9,0.97,1.0,0.04
jahshaka.csv,0.75,0.09,0.88,0.91,1.07,0.79,0.53,0.93,0.76,0.83
jam-daq.csv,0.65,0.6,0.55,0.64,0.83,0.73,0.07,0.74,0.74,0.51
jatlas.csv,0.73,1.0,0.95,0.98,0.0,1.0,0.67,1.0,1.0,1.0
jedit.csv,0.07,0.5,0.81,0.32,0.88,0.69,0.6,0.79,0.74,0.47
mscore.csv,0.61,0.54,0.63,1.03,0.59,0.02,0.8,0.71,0.7,0.52
open-media-library.csv,0.75,0.56,0.0,0.81,0.51,0.58,0.69,0.75,0.57,0.83
panda3d.csv,0.82,0.92,0.75,0.92,0.69,0.8,0.9,0.64,0.07,0.93
wheat.csv,0.58,0.61,0.69,0.46,0.55,0.51,0.68,0.07,0.68,0.58
