,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.47,0.56,0.87,0.27,0.31,0.77,0.59,0.44,0.5,0.68,0.81,0.71,0.7,0.73,0.73,0.38,0.5,0.4,0.69,0.63
checker-framework.csv,0.48,0.54,0.28,0.25,0.24,0.69,0.64,0.69,0.28,0.29,0.59,0.69,0.18,0.72,0.47,0.31,0.27,0.74,0.47,0.62
customsagetv.csv,0.43,0.4,0.0,0.4,0.36,0.67,0.21,0.37,0.41,0.46,0.48,0.6,0.89,0.49,0.19,0.36,0.42,0.64,0.67,0.59
elvishrayrenderer.csv,0.48,0.4,0.88,0.3,0.33,0.22,0.5,0.36,0.31,0.47,0.57,0.7,0.58,0.76,0.51,0.35,0.31,0.41,0.39,0.76
guineu.csv,0.59,0.47,0.87,0.25,0.27,0.62,0.58,0.3,0.26,0.85,0.82,0.45,0.83,0.43,0.19,0.22,0.25,0.62,0.66,0.56
inkscape.csv,0.42,0.57,0.88,0.3,0.29,0.77,0.49,0.29,0.4,0.27,0.86,0.63,0.73,0.69,0.46,0.31,0.41,0.77,0.71,0.5
mesa3d.csv,0.44,0.3,0.13,0.0,0.36,0.6,0.62,0.08,0.4,0.55,0.48,0.57,0.03,0.78,0.27,0.39,0.4,0.22,0.05,0.57
nsis.csv,0.41,0.44,0.73,0.17,0.19,0.67,0.35,0.29,0.36,0.81,0.83,0.58,0.67,0.36,0.33,0.3,0.36,0.81,0.67,0.67
octave.csv,0.37,0.52,0.29,0.22,0.42,0.6,0.46,0.11,0.34,0.45,0.66,0.27,0.34,0.66,0.49,0.34,0.34,0.36,0.34,0.5
oorexx.csv,0.34,0.37,0.21,0.27,0.37,0.47,0.53,0.4,0.42,0.6,0.19,0.47,0.51,0.33,0.21,0.27,0.44,0.36,0.7,0.64
owfs.csv,0.46,0.52,0.88,0.37,0.32,0.69,0.55,0.32,0.41,0.8,0.77,0.65,0.19,0.8,0.57,0.36,0.41,0.57,0.7,0.81
owlib.csv,0.49,0.63,0.7,0.3,0.37,0.6,0.62,0.43,0.4,0.6,0.69,0.7,0.6,0.71,0.55,0.39,0.41,0.39,0.6,0.74
prelude.csv,0.48,0.57,0.91,0.32,0.32,0.76,0.61,0.36,0.43,0.73,0.89,0.66,0.73,0.8,0.44,0.39,0.43,0.76,0.75,0.77
robocode.csv,0.56,0.57,0.0,0.41,0.36,0.77,0.69,0.37,0.47,0.52,0.48,0.65,0.6,0.7,0.36,0.4,0.45,0.41,0.67,0.59
tencompetence.csv,0.22,0.45,0.72,0.18,0.19,0.23,0.07,0.24,0.0,0.23,0.67,0.34,0.61,0.34,0.16,0.3,0.07,0.83,0.52,0.62
trinitycore.csv,0.29,0.28,0.42,0.27,0.29,0.6,0.25,0.2,0.45,0.37,0.68,0.16,0.52,0.7,0.14,0.35,0.47,0.47,0.44,0.54
uwom-server.csv,0.22,0.34,0.0,0.0,0.38,0.59,0.37,0.32,0.45,0.46,0.67,0.16,0.51,0.6,0.14,0.26,0.43,0.5,0.46,0.57
xfce.csv,0.43,0.57,0.38,0.34,0.31,0.76,0.63,0.49,0.42,0.56,0.6,0.67,0.54,0.73,0.39,0.36,0.4,0.57,0.55,0.6
zengine.csv,0.47,0.55,0.85,0.25,0.31,0.72,0.62,0.3,0.4,0.96,0.91,0.68,0.64,0.72,0.47,0.38,0.4,0.75,0.74,0.8
zildo.csv,0.53,0.58,0.74,0.28,0.34,0.59,0.47,0.43,0.34,0.35,0.69,0.71,0.8,0.68,0.45,0.35,0.33,0.57,0.64,0.73
