,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.51,0.44,0.47,0.53,0.5,0.71,0.5,0.58,0.98,0.36,0.33,1.0,0.62,0.33,0.68,0.55,0.31,0.64
bscwweasel.csv,0.06,0.01,0.19,0.0,0.95,0.33,0.33,0.11,0.02,0.03,0.14,0.8,0.17,0.06,0.0,0.11,0.05,0.1
capcode.csv,0.03,0.0,0.09,0.06,0.1,0.0,0.92,0.08,0.23,0.12,0.03,0.0,0.14,0.06,0.1,0.16,0.14,0.13
dspace-gsoc.csv,0.35,0.79,0.69,0.56,0.5,0.67,0.67,0.74,0.25,0.41,1.0,0.4,0.74,0.82,0.26,0.55,0.67,0.71
emite.csv,0.24,0.8,0.34,0.35,0.5,0.52,0.5,0.53,0.37,0.34,0.42,0.2,0.29,0.64,0.94,0.49,0.4,0.46
fbmanager.csv,0.51,0.37,0.59,0.97,0.25,0.76,0.67,0.72,0.13,0.39,0.5,0.8,0.61,0.52,0.16,0.69,0.38,0.54
freenet.csv,0.75,0.94,0.69,0.76,0.75,0.95,0.92,0.99,0.69,0.61,0.83,0.8,0.8,0.76,0.26,0.84,0.67,0.82
geogebra.csv,0.24,0.03,0.28,0.06,0.75,0.48,0.75,0.62,0.14,0.65,0.11,0.6,0.41,0.27,0.32,0.94,0.12,0.46
megameknet.csv,0.56,0.03,0.78,0.53,0.4,0.76,0.42,0.57,0.17,0.5,0.36,0.8,0.94,0.7,0.23,0.66,0.1,0.34
ondex.csv,0.24,0.45,0.56,0.32,0.35,0.67,0.5,0.63,0.8,0.5,0.25,0.2,0.58,0.88,0.32,0.59,0.74,0.29
onotoa.csv,0.69,0.6,0.38,0.74,0.75,0.81,0.83,0.84,0.75,1.0,0.47,1.0,0.78,0.36,0.9,0.61,0.5,0.7
paintown.csv,0.97,0.06,0.5,0.56,0.75,0.9,0.67,0.71,0.55,0.68,0.53,1.0,0.68,0.7,0.55,0.6,0.43,0.76
powerfolder.csv,0.0,0.0,0.03,0.0,0.05,0.1,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0
retromenu.csv,0.24,0.08,0.22,0.18,0.25,0.95,0.42,0.37,0.02,0.16,0.06,0.8,0.49,0.33,0.06,0.55,0.05,0.25
smbopensoft.csv,0.47,0.97,0.81,0.35,0.65,1.0,0.58,0.59,0.41,0.51,0.53,0.8,0.61,0.7,0.39,0.64,0.5,0.54
triplea.csv,0.78,0.27,0.97,0.79,0.7,0.95,0.67,0.9,0.68,0.51,0.78,1.0,0.59,0.88,0.71,0.62,0.67,0.84
tweetsharp.csv,0.78,0.92,0.34,0.74,0.8,0.9,0.5,0.42,0.53,0.55,0.72,1.0,0.77,0.76,0.58,0.66,0.98,0.83
xamj.csv,0.65,0.24,0.53,0.62,0.45,0.43,0.42,0.61,0.37,0.45,0.22,1.0,0.55,0.58,0.29,0.56,0.83,0.96
