,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.57,0.42,0.59,0.58,0.26,0.57,0.26,0.65,0.99,0.52,0.46,0.17,0.43,0.29,0.58,0.4,0.45,0.5
bscwweasel.csv,0.11,0.02,0.32,0.0,0.97,0.42,0.3,0.2,0.04,0.05,0.24,0.33,0.29,0.09,0.0,0.18,0.09,0.17
capcode.csv,0.05,0.0,0.15,0.11,0.11,0.0,0.96,0.15,0.34,0.21,0.05,0.0,0.22,0.07,0.15,0.22,0.25,0.16
dspace-gsoc.csv,0.44,0.67,0.71,0.61,0.23,0.48,0.23,0.72,0.37,0.55,1.0,0.05,0.49,0.29,0.31,0.39,0.7,0.57
emite.csv,0.29,0.7,0.46,0.45,0.21,0.38,0.32,0.6,0.5,0.47,0.55,0.04,0.26,0.28,0.94,0.36,0.52,0.4
fbmanager.csv,0.57,0.46,0.68,0.99,0.18,0.55,0.23,0.73,0.22,0.52,0.61,0.21,0.53,0.23,0.25,0.46,0.48,0.49
freenet.csv,0.61,0.63,0.65,0.6,0.25,0.51,0.27,0.99,0.7,0.7,0.75,0.08,0.37,0.3,0.32,0.34,0.68,0.44
geogebra.csv,0.37,0.06,0.41,0.1,0.21,0.29,0.25,0.63,0.24,0.72,0.19,0.06,0.48,0.32,0.36,0.97,0.21,0.33
megameknet.csv,0.5,0.06,0.71,0.55,0.19,0.55,0.22,0.65,0.28,0.64,0.45,0.12,0.97,0.3,0.33,0.34,0.17,0.39
ondex.csv,0.28,0.54,0.61,0.39,0.18,0.48,0.24,0.67,0.79,0.64,0.37,0.05,0.35,0.94,0.32,0.38,0.82,0.41
onotoa.csv,0.55,0.47,0.48,0.63,0.21,0.46,0.27,0.74,0.74,0.99,0.52,0.09,0.33,0.24,0.58,0.28,0.58,0.38
paintown.csv,0.97,0.11,0.55,0.6,0.26,0.52,0.21,0.69,0.65,0.74,0.61,0.1,0.47,0.35,0.54,0.39,0.54,0.5
powerfolder.csv,0.0,0.0,0.06,0.0,0.1,0.17,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0
retromenu.csv,0.36,0.15,0.35,0.3,0.29,0.98,0.28,0.51,0.04,0.26,0.1,0.42,0.56,0.25,0.12,0.55,0.09,0.38
smbopensoft.csv,0.53,0.97,0.73,0.45,0.28,0.59,0.28,0.65,0.54,0.63,0.6,0.16,0.47,0.26,0.44,0.42,0.57,0.44
triplea.csv,0.58,0.34,0.98,0.62,0.2,0.61,0.24,0.78,0.7,0.63,0.75,0.18,0.44,0.39,0.53,0.34,0.68,0.52
tweetsharp.csv,0.65,0.64,0.42,0.66,0.31,0.61,0.22,0.51,0.63,0.66,0.72,0.15,0.42,0.3,0.5,0.42,0.99,0.47
xamj.csv,0.6,0.37,0.59,0.58,0.26,0.47,0.22,0.65,0.51,0.58,0.33,0.2,0.37,0.35,0.35,0.4,0.8,0.98
