,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.55,0.14,0.58,0.65,0.3,0.39,0.65,0.98,0.48,0.42,0.61,0.65,0.53,0.35,0.24,0.38,0.38,0.74
decidr.csv,0.5,0.13,0.53,0.6,0.24,0.36,0.69,0.74,0.43,0.52,0.98,0.56,0.52,0.35,0.2,0.36,0.39,0.76
elmo.csv,0.03,1.0,0.0,0.06,0.0,0.0,0.04,0.0,0.09,0.0,0.08,0.03,0.13,0.0,0.0,0.0,0.17,0.07
gpac.csv,0.31,0.22,0.34,0.47,0.29,0.26,0.29,0.3,0.28,0.38,0.43,0.97,0.39,0.29,0.13,0.19,0.4,0.39
illumination.csv,0.08,0.22,0.3,0.32,0.07,0.27,0.37,0.43,0.08,0.26,0.13,0.16,0.18,0.0,0.11,0.38,0.9,0.05
img-browse-sort.csv,0.55,0.06,0.49,0.58,0.17,0.5,0.73,0.62,0.44,0.49,0.59,0.62,0.55,0.48,0.28,1.0,0.3,0.64
jajuk.csv,0.53,0.19,0.59,0.97,0.35,0.39,0.72,0.77,0.44,0.5,0.61,0.65,0.68,0.27,0.2,0.45,0.35,0.76
ktc.csv,0.98,0.13,0.56,0.63,0.31,0.39,0.38,0.49,0.48,0.45,0.43,0.31,0.44,0.33,0.26,0.38,0.27,0.59
miranda.csv,0.59,0.21,0.54,0.42,0.35,0.31,0.32,0.75,0.44,0.35,0.26,0.54,0.48,0.27,0.29,0.33,0.22,0.99
neoengine.csv,0.64,0.14,0.98,0.63,0.37,0.35,0.59,0.7,0.5,0.43,0.6,0.66,0.63,0.29,0.23,0.57,0.31,0.74
nicepress.csv,0.55,0.08,0.53,0.38,0.33,0.33,0.19,0.5,0.53,0.99,0.29,0.57,0.41,0.0,0.36,0.37,0.37,0.6
omseek.csv,0.58,0.0,0.23,0.55,0.0,0.42,0.76,0.27,0.19,0.48,0.54,0.28,0.19,0.4,0.95,0.35,0.24,0.21
rosegarden.csv,0.64,0.13,0.54,0.52,0.3,0.4,0.58,0.63,0.96,0.52,0.5,0.4,0.48,0.3,0.25,0.32,0.14,0.7
smarttag.csv,0.4,0.11,0.35,0.32,0.2,0.27,0.3,0.63,0.4,0.38,0.27,0.35,0.57,1.0,0.27,0.11,0.0,0.34
sylpheed-claws.csv,0.63,0.11,0.6,0.62,0.26,0.44,0.61,0.63,0.5,0.46,0.63,0.62,0.98,0.46,0.28,0.28,0.23,0.68
vapor.csv,0.41,0.0,0.22,0.19,0.1,0.96,0.3,0.18,0.27,0.5,0.3,0.0,0.2,0.21,0.19,0.11,0.27,0.37
zorannt.csv,0.49,0.11,0.45,0.55,0.9,0.32,0.66,0.79,0.25,0.39,0.55,0.67,0.64,0.42,0.14,0.48,0.29,0.47
zscreen.csv,0.63,0.13,0.4,0.7,0.22,0.45,0.98,0.64,0.46,0.5,0.71,0.63,0.67,0.43,0.22,0.39,0.36,0.63
