,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.7,0.6,0.7,0.65,0.7,0.64,0.57,0.98,0.68,0.53,0.67,0.73,0.55,0.64,0.82,0.62,0.65,0.76
decidr.csv,0.65,0.8,0.72,0.66,0.7,0.64,0.78,0.81,0.62,0.78,0.98,0.57,0.63,0.5,0.76,0.62,0.88,0.87
elmo.csv,0.02,1.0,0.0,0.03,0.0,0.0,0.02,0.0,0.06,0.0,0.04,0.02,0.07,0.0,0.0,0.0,0.12,0.04
gpac.csv,0.23,0.4,0.25,0.38,0.3,0.24,0.2,0.19,0.23,0.31,0.34,0.96,0.29,0.21,0.18,0.15,0.53,0.27
illumination.csv,0.04,0.6,0.33,0.33,0.04,0.4,0.28,0.34,0.05,0.22,0.08,0.09,0.11,0.0,0.24,0.38,0.82,0.03
img-browse-sort.csv,0.75,0.2,0.45,0.54,0.22,0.8,0.72,0.51,0.53,0.67,0.53,0.75,0.59,0.86,0.58,1.0,0.59,0.57
jajuk.csv,0.58,0.8,0.79,0.97,0.7,0.6,0.65,0.81,0.58,0.72,0.59,0.73,0.87,0.36,0.64,0.69,0.59,0.85
ktc.csv,0.97,0.2,0.54,0.62,0.39,0.48,0.28,0.38,0.46,0.5,0.32,0.23,0.34,0.5,0.52,0.77,0.35,0.48
miranda.csv,0.64,0.6,0.79,0.3,0.52,0.4,0.2,0.83,0.46,0.33,0.16,0.59,0.38,0.21,0.55,0.23,0.29,1.0
neoengine.csv,0.65,1.0,0.98,0.6,0.57,0.52,0.54,0.75,0.61,0.5,0.5,0.8,0.85,0.43,0.64,0.77,0.59,0.75
nicepress.csv,0.45,0.4,0.51,0.26,0.39,0.36,0.11,0.43,0.53,0.97,0.17,0.62,0.39,0.0,0.48,0.38,0.47,0.51
omseek.csv,0.94,0.0,0.13,0.58,0.0,0.84,0.85,0.17,0.12,0.67,0.56,0.18,0.11,0.5,0.91,0.23,0.41,0.12
rosegarden.csv,0.56,0.4,0.52,0.42,0.52,0.6,0.52,0.57,0.94,0.56,0.42,0.3,0.43,0.36,0.52,0.31,0.12,0.66
smarttag.csv,0.29,0.4,0.23,0.21,0.17,0.24,0.17,0.55,0.34,0.31,0.16,0.25,0.51,1.0,0.45,0.08,0.0,0.22
sylpheed-claws.csv,0.68,0.4,0.62,0.57,0.43,0.64,0.61,0.6,0.58,0.58,0.59,0.66,0.96,0.64,0.7,0.38,0.35,0.64
vapor.csv,0.44,0.0,0.19,0.13,0.09,0.92,0.2,0.1,0.34,0.61,0.22,0.0,0.12,0.21,0.45,0.08,0.29,0.27
zorannt.csv,0.43,0.6,0.43,0.48,0.83,0.52,0.65,0.95,0.21,0.44,0.54,0.8,0.94,0.71,0.3,0.46,0.41,0.35
zscreen.csv,0.78,0.4,0.39,0.78,0.7,0.84,1.0,0.58,0.72,0.75,0.87,0.75,0.79,0.93,0.73,0.85,0.71,0.57
