,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.73,0.65,0.03,0.62,0.61,0.58,0.77,1.13,0.65,0.66,0.7,0.82,0.77,0.85,0.57
glelite.csv,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,0.95,0.0,0.96,0.97
hannosset.csv,0.82,1.0,0.95,1.0,0.94,1.0,0.93,1.0,0.96,0.96,0.17,1.0,0.96,0.95,0.84
ipfilter.csv,0.66,0.75,0.88,0.7,0.71,0.62,0.78,0.53,0.75,0.44,0.63,0.0,0.72,0.72,0.64
moving-pictures.csv,0.59,0.74,0.8,0.58,0.63,0.77,0.0,1.27,0.77,0.51,0.8,0.82,0.37,0.69,0.76
pclasses.csv,0.18,0.74,1.0,0.67,0.9,0.95,0.77,1.01,0.76,1.09,0.82,1.09,0.97,0.8,0.75
pfaedit.csv,1.0,0.75,0.91,0.74,0.49,0.02,0.75,0.25,0.69,0.86,0.97,0.56,0.73,0.64,0.85
qcad2.csv,0.88,0.64,0.82,0.76,0.04,0.78,0.76,0.42,0.64,0.72,0.98,0.76,0.29,0.87,0.91
rockbox.csv,0.71,0.7,0.6,1.07,0.58,0.64,0.67,1.11,0.71,0.73,0.52,0.64,0.79,0.79,0.05
roller.csv,0.6,0.85,0.5,0.72,0.56,0.73,0.69,0.47,0.0,0.86,0.66,0.71,0.96,0.74,0.56
theresa.csv,1.0,1.0,1.0,0.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tzod.csv,0.49,0.04,0.6,0.39,0.54,0.49,0.76,0.41,0.64,0.85,0.72,0.7,0.61,0.86,0.86
xinity.csv,0.92,0.86,0.9,0.36,0.83,0.63,0.77,0.17,0.75,0.98,0.56,0.9,0.71,0.02,1.0
zabbix.csv,0.88,0.89,0.81,0.78,0.69,0.89,0.54,1.23,0.8,0.02,1.0,0.61,1.02,0.98,0.83
