,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.24,0.44,0.99,0.16,0.56,0.79,0.48,0.0,0.81,0.56,0.17,0.65,0.76,0.73,0.53
glelite.csv,0.29,0.53,0.74,0.11,0.5,0.76,0.64,0.03,0.75,0.58,0.15,0.84,1.0,0.77,0.55
hannosset.csv,0.22,0.0,0.09,0.0,0.1,0.0,0.13,0.0,0.08,0.07,0.91,0.0,0.08,0.09,0.27
ipfilter.csv,0.27,0.35,0.56,0.11,0.37,0.61,0.58,0.06,0.71,0.65,0.17,1.0,0.83,0.63,0.44
moving-pictures.csv,0.32,0.51,0.33,0.17,0.46,0.76,1.0,0.0,0.51,0.59,0.13,0.73,0.78,0.71,0.57
pclasses.csv,0.9,0.35,0.0,0.5,0.16,0.1,0.34,0.0,0.44,0.11,0.1,0.04,0.05,0.33,0.36
pfaedit.csv,0.0,0.35,0.17,0.1,0.57,0.99,0.37,0.12,0.46,0.24,0.05,0.61,0.42,0.61,0.23
qcad2.csv,0.13,0.46,0.67,0.14,0.97,0.74,0.42,0.07,0.58,0.41,0.05,0.76,0.83,0.54,0.24
rockbox.csv,0.25,0.44,0.55,0.0,0.48,0.54,0.53,0.0,0.53,0.38,0.22,0.54,0.35,0.54,0.97
roller.csv,0.31,0.26,0.65,0.14,0.58,0.43,0.61,0.07,1.0,0.33,0.18,0.51,0.46,0.53,0.53
theresa.csv,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tzod.csv,0.44,0.98,0.58,0.27,0.53,0.73,0.36,0.08,0.56,0.25,0.13,0.48,0.56,0.58,0.21
xinity.csv,0.11,0.22,0.17,0.33,0.24,0.58,0.47,0.17,0.41,0.03,0.23,0.6,0.45,0.99,0.0
zabbix.csv,0.18,0.41,0.59,0.13,0.52,0.78,0.66,0.0,0.67,0.99,0.09,0.73,0.88,0.68,0.42
