,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.48,0.58,0.45,0.43,0.34,0.48,0.4,0.66,0.43,0.36,0.13,0.46,0.14,0.0,0.36,0.66
chaosrts.csv,0.34,0.35,0.43,0.28,0.26,0.49,0.62,0.66,0.56,0.49,0.71,0.49,0.51,0.0,0.78,0.21
dxengine.csv,0.53,0.0,0.67,0.42,0.7,0.0,0.05,0.0,0.07,0.09,0.24,0.0,0.53,0.0,0.01,0.0
e-bio-flow.csv,0.18,0.14,0.13,0.62,0.35,0.63,0.55,0.64,0.47,0.73,0.44,0.5,0.59,0.0,0.24,0.28
jbpm.csv,0.18,0.07,0.05,0.06,0.11,0.0,0.77,0.0,0.2,0.2,0.0,0.11,0.0,0.0,0.27,0.29
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0
jmoney.csv,0.85,0.46,0.7,0.73,0.38,0.68,0.61,0.37,0.59,0.5,0.44,0.53,0.61,0.0,0.71,0.27
jmonkeyengine.csv,0.22,0.45,0.57,0.3,0.7,0.26,0.66,0.31,0.59,0.54,0.09,0.29,0.58,0.52,0.43,0.27
joustsim.csv,0.43,0.45,0.61,0.26,0.6,0.35,0.8,0.37,0.65,0.4,0.43,0.84,0.46,0.82,0.17,0.96
jsidplay2.csv,0.58,0.15,0.33,0.73,0.21,0.57,0.54,0.37,0.5,0.41,0.46,0.55,0.14,0.0,0.51,0.33
log4net.csv,0.68,0.56,0.26,0.28,0.27,0.57,0.31,0.97,0.0,0.51,0.18,0.72,0.43,0.0,0.41,0.28
piccolo2d.csv,0.59,0.53,0.34,0.39,0.62,0.92,0.58,0.7,0.37,0.63,0.36,0.4,0.15,0.0,0.55,0.29
reaper3d.csv,0.64,0.39,0.62,0.58,0.73,0.18,0.38,0.37,0.13,0.53,0.3,0.31,0.82,0.0,0.14,0.29
sblim.csv,0.72,0.07,0.34,0.29,0.88,0.75,0.6,0.0,0.32,0.38,0.59,0.41,0.15,0.0,0.33,0.28
thedata.csv,0.59,0.5,0.67,0.63,0.64,0.45,0.33,0.4,0.46,0.49,0.44,0.54,0.63,0.0,0.34,0.98
tmva.csv,0.49,0.63,0.53,0.42,0.25,0.39,0.27,0.58,0.53,0.4,0.76,0.13,0.67,0.0,0.38,0.43
