,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.93,1.0,1.0,0.01,0.98,1.0,0.98,1.0,1.0,1.0
chrysalis.csv,0.68,1.0,0.9,0.84,1.04,0.94,0.76,0.9,0.94,0.08
jahshaka.csv,0.71,0.09,0.79,0.79,1.03,0.64,0.72,0.83,0.73,0.84
jam-daq.csv,0.72,0.92,0.8,0.64,0.48,0.83,0.02,0.86,0.8,0.78
jatlas.csv,0.96,1.0,1.0,1.04,0.0,0.98,0.96,0.96,1.0,1.0
jedit.csv,0.05,0.82,0.74,0.71,1.03,0.9,0.6,0.91,1.0,0.46
mscore.csv,0.55,0.75,0.66,0.24,0.45,0.02,0.6,0.57,0.71,0.71
open-media-library.csv,0.68,0.92,0.03,0.9,0.62,0.66,0.55,0.61,0.61,0.83
panda3d.csv,0.8,0.91,0.84,0.86,0.65,0.91,0.89,0.78,0.06,0.96
wheat.csv,0.8,0.58,0.76,0.73,0.24,0.54,0.84,0.0,0.67,0.63
