,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.34,0.42,0.33,0.35,0.39,0.4,0.36,0.35,0.45,0.46
chrysalis.csv,0.66,0.75,0.93,0.93,0.62,0.89,0.81,0.8,0.92,0.81
jahshaka.csv,0.8,0.8,0.86,0.74,0.94,0.66,0.76,0.88,0.69,0.97
jam-daq.csv,0.82,0.86,0.92,0.52,0.63,0.97,0.52,0.83,0.81,0.94
jatlas.csv,0.92,0.0,0.0,0.5,0.8,0.83,0.75,0.0,0.0,0.0
jedit.csv,0.47,0.8,0.61,0.37,0.87,0.93,0.54,0.91,0.5,0.7
mscore.csv,0.54,0.5,0.39,0.34,0.52,0.47,0.42,0.43,0.51,0.67
open-media-library.csv,0.36,0.88,0.51,0.72,0.56,0.6,0.5,0.6,0.43,0.97
panda3d.csv,0.87,0.8,0.93,0.7,0.94,0.94,0.89,0.92,0.8,0.75
wheat.csv,0.5,0.75,0.6,0.88,0.6,0.49,0.53,0.5,0.51,0.65
