,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.48,0.0,0.12,0.16,0.2,0.06,0.31,0.11,0.06,0.93
jahshaka.csv,0.3,0.91,0.25,0.21,0.0,0.38,0.36,0.18,0.48,0.19
jam-daq.csv,0.3,0.09,0.2,0.36,0.6,0.18,0.98,0.14,0.23,0.22
jatlas.csv,0.05,0.0,0.0,0.01,1.0,0.02,0.04,0.04,0.0,0.0
jedit.csv,0.95,0.18,0.3,0.75,0.0,0.1,0.42,0.14,0.0,0.56
mscore.csv,0.49,0.45,0.55,0.76,0.8,0.98,0.64,0.54,0.48,0.33
open-media-library.csv,0.82,0.09,0.98,0.4,0.6,0.42,0.78,0.46,0.56,0.19
panda3d.csv,0.23,0.09,0.18,0.21,0.4,0.1,0.11,0.25,0.94,0.04
wheat.csv,0.43,0.55,0.42,0.27,1.0,0.53,0.53,1.0,0.54,0.48
