,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.41,0.94,0.52,0.92,0.65,0.98,0.67,0.65,0.75,0.67
fritzing.csv,0.5,0.52,0.54,0.5,0.4,0.55,0.86,0.83,0.62,0.62
jlinalg.csv,0.5,0.54,0.44,0.39,0.39,0.46,0.4,0.5,0.59,0.48
knowledge.csv,0.44,0.42,0.43,0.35,0.41,0.41,0.4,0.36,0.49,0.42
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
multitude.csv,0.38,0.61,0.47,0.4,0.38,0.45,0.53,0.36,0.45,0.5
playerstage.csv,0.57,0.46,0.49,0.6,0.43,0.63,0.71,0.54,0.5,0.65
quarkplusplus.csv,0.42,0.92,0.55,0.61,0.46,0.59,0.78,0.41,0.68,0.96
rtrt-on-gpu.csv,0.67,0.54,0.62,0.45,0.62,0.57,0.91,0.87,0.82,0.75
superwaba.csv,0.37,0.53,0.46,0.45,0.38,0.5,0.75,0.38,0.59,0.47
