,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,1.0,0.95,0.75,0.72,0.86,0.84,0.84,0.97,0.53,0.93,0.9,0.86,0.84,0.83,0.86,0.96,0.19,0.92,0.94,1.02
blogentis.csv,0.51,0.6,1.0,0.6,0.86,0.73,0.08,0.83,1.01,1.08,0.5,0.62,0.55,0.54,0.69,0.54,0.84,0.91,0.83,1.06
carabiner.csv,0.61,0.99,1.0,0.95,1.01,0.57,0.49,0.93,0.64,1.04,0.66,1.06,0.63,0.45,0.72,0.79,0.74,0.05,0.65,0.58
continuum-ide.csv,0.51,0.68,0.88,0.91,0.98,0.83,0.67,0.87,1.01,0.03,0.56,1.0,1.02,0.67,0.05,0.73,0.72,0.95,0.86,1.03
emulemorph.csv,1.0,0.97,1.0,1.0,1.0,0.83,0.96,1.03,1.0,1.05,0.98,1.0,0.17,1.0,1.0,1.0,1.0,0.97,1.0,1.0
free-evolution.csv,0.56,0.85,0.78,0.79,0.64,0.75,0.57,0.91,0.59,1.04,0.79,1.01,0.7,0.7,0.63,0.62,0.69,0.76,0.0,0.56
gtad.csv,0.0,1.0,1.0,0.89,0.98,1.0,1.0,0.98,1.0,1.0,0.97,1.0,0.83,0.9,1.0,0.92,1.0,1.0,0.97,1.0
htmlunit.csv,0.18,0.78,1.04,0.67,0.73,0.65,0.79,0.89,1.01,0.1,0.06,0.8,0.69,0.64,0.72,0.72,0.86,0.78,0.92,0.22
jaxen.csv,1.0,0.82,1.0,0.82,0.94,0.73,0.92,1.0,1.0,1.0,0.94,0.0,0.67,0.87,1.0,0.92,0.91,0.95,0.97,1.0
jsr308-langtools.csv,0.56,0.74,1.22,0.81,0.63,0.54,0.69,0.81,0.74,1.01,0.55,0.24,0.86,0.0,0.73,0.69,0.65,0.7,0.84,1.06
jvcl.csv,1.0,1.0,1.0,0.12,0.96,1.0,0.94,0.63,1.0,0.89,0.97,1.03,1.0,0.97,0.94,1.04,0.99,0.86,1.0,1.0
kaffeine.csv,0.99,0.97,1.03,1.0,0.04,0.97,0.64,1.0,0.91,0.85,0.98,0.96,0.88,0.95,0.95,0.89,0.88,0.94,0.86,0.97
m-m-m.csv,0.66,0.73,0.81,0.85,0.52,0.49,0.76,0.02,0.93,0.62,0.94,0.98,0.95,0.93,0.71,0.54,0.87,0.76,0.63,0.38
motu.csv,0.5,0.74,0.85,0.89,0.94,0.91,0.85,0.83,0.94,1.0,0.71,0.45,0.83,0.91,0.91,0.08,0.72,0.91,1.0,1.01
nh3d.csv,1.0,1.0,0.0,1.0,0.98,1.0,0.96,1.0,0.7,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,0.95,1.0,1.0
sarasvati.csv,0.59,0.85,0.28,0.74,0.93,0.18,1.0,0.96,0.9,0.3,0.74,0.4,1.05,0.74,0.64,0.88,0.75,1.0,0.76,1.0
taokgame.csv,0.53,1.0,1.0,0.88,0.86,0.83,0.95,0.98,0.1,1.16,1.0,1.0,1.0,0.93,1.0,0.91,0.73,0.91,0.73,1.0
wgs-assembler.csv,1.01,0.03,0.67,0.65,0.88,0.66,0.81,0.85,0.65,0.34,0.63,0.62,0.86,0.55,0.65,0.71,0.66,0.91,0.91,1.11
