,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.1,0.26,0.0,0.0,0.26,0.55,0.57,0.31,0.75,0.33,0.51,0.53,0.24,0.0,0.31,0.07,0.31,0.62
encog-cs.csv,0.54,0.22,0.38,0.49,0.44,0.5,0.65,0.48,0.23,0.36,0.59,0.6,0.6,0.47,0.34,0.26,0.44,0.23
geochat.csv,0.17,0.51,0.27,0.66,0.13,0.69,0.04,0.31,0.06,0.06,0.35,0.46,0.45,0.68,0.33,0.52,0.62,0.13
ibatisdb.csv,0.13,0.06,0.11,0.4,0.04,0.44,0.46,0.09,0.15,0.06,0.09,0.83,0.24,0.45,0.23,0.35,0.37,0.12
inkscape.csv,0.51,0.0,0.71,0.63,0.49,0.13,0.05,0.53,0.67,0.55,0.09,0.13,0.0,0.62,0.53,0.38,0.7,0.32
jam-daq.csv,0.38,0.83,0.15,0.29,0.1,0.56,0.22,0.73,0.05,0.24,0.31,0.22,0.24,0.28,0.24,0.17,0.34,0.24
jhotdraw.csv,0.28,0.3,0.46,0.59,0.38,0.6,0.2,0.28,0.52,0.06,0.58,0.63,0.35,0.61,0.52,0.56,0.24,0.34
ninject.csv,0.12,0.0,0.24,0.33,0.34,0.24,0.11,0.11,0.19,0.34,0.34,0.17,0.96,0.34,0.48,0.49,0.37,0.38
ofbiz.csv,0.47,0.6,0.53,0.58,0.45,0.57,0.62,0.23,0.26,0.39,0.74,0.4,0.62,0.6,0.23,0.35,0.48,0.66
oorexx.csv,0.56,0.71,0.51,0.56,0.48,0.57,0.58,0.73,0.4,0.42,0.48,0.69,0.0,0.58,0.62,0.66,0.43,0.36
opentibia.csv,0.79,0.41,0.02,0.23,0.3,0.1,0.53,0.05,0.45,0.44,0.32,0.71,0.45,0.21,0.49,0.07,0.47,0.38
projectts.csv,0.57,0.51,0.52,0.58,0.61,0.56,0.5,0.19,0.35,0.43,0.48,0.77,0.84,0.6,0.52,0.57,0.68,0.74
retromenu.csv,0.51,0.76,0.06,0.27,0.17,0.27,0.64,0.31,0.19,0.24,0.36,0.37,0.24,0.24,0.41,0.2,0.0,0.36
roolo.csv,0.49,0.46,0.65,0.61,0.56,0.52,0.49,0.44,0.52,0.76,0.49,0.49,0.0,0.61,0.57,0.5,0.38,0.26
tango-cs.csv,0.47,0.17,0.6,0.43,0.48,0.61,0.47,0.58,0.4,0.13,0.67,0.6,0.73,0.43,0.67,0.39,0.35,0.7
trinitycore.csv,0.33,0.28,0.54,0.68,0.3,0.56,0.14,0.63,0.55,0.54,0.54,0.1,0.71,0.72,0.48,0.5,0.2,0.44
uface.csv,0.46,0.65,0.48,0.51,0.6,0.24,0.68,0.24,0.51,0.45,0.62,0.62,0.59,0.51,0.64,0.0,0.13,0.94
uwom-server.csv,0.43,0.48,0.47,0.65,0.41,0.21,0.42,0.48,0.55,0.69,0.42,0.62,0.76,0.61,0.55,0.36,0.2,0.69
