,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.9,0.59,0.82,0.75,1.0,0.88
chaperon.csv,0.06,0.04,0.1,1.0,0.07,0.08
mule.csv,0.97,0.14,0.18,0.25,0.34,0.32
nunit.csv,0.41,0.22,0.2,0.0,0.21,0.92
springside.csv,0.59,0.96,0.38,1.0,0.48,0.78
swtfox.csv,0.31,0.61,0.98,0.5,0.23,0.48
