,f1,g,recall,precision,pf,cdom,bellwether
2,0.71,0.545,0.45,0.47,0.48,19.0,qtractor.csv
23,0.35,0.76,0.515,0.51,0.5,6.0,ofbiz.csv
31,0.53,0.42,0.355,0.43,0.43,3.0,yaprm.csv
36,0.585,0.525,0.46,0.47,0.47,11.0,open-media-library.csv
49,0.52,0.5,0.41,0.42,0.44,13.0,applet2app.csv
1,0.82,0.46499999999999997,0.24,0.4,0.56,0.0,atunes.csv
