,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.28,0.35,0.15,0.25,0.14,0.21,0.08,0.95,0.15,0.14,0.32
haphazard.csv,0.07,0.24,0.03,0.12,0.0,0.32,0.14,0.05,0.92,0.05,0.16
jicarilla.csv,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0.0,0.08,0.0,0.05
jruby.csv,0.71,0.76,0.27,0.88,0.86,0.26,0.51,0.5,0.62,0.14,1.0
optalgtoolkit.csv,0.84,0.43,0.36,0.94,0.57,0.95,0.65,0.36,0.31,0.14,0.17
ossim.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.76,0.68,0.06,0.69,1.0,0.53,0.92,0.16,0.77,0.45,0.49
qedo.csv,0.07,0.03,0.0,0.0,0.0,0.05,0.14,0.0,0.08,0.91,0.01
sabbu.csv,0.97,0.24,0.33,0.5,0.29,0.21,0.3,0.18,0.08,0.18,0.32
vxl.csv,0.57,0.95,1.0,0.12,0.29,0.11,0.92,0.91,0.08,0.0,0.29
zact.csv,0.29,0.03,0.0,0.06,0.43,0.0,0.0,0.5,0.0,0.05,0.03
