,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.37,0.62,0.33,0.75,0.52,0.58,1.0,0.67,0.52,0.82,0.86,0.6,0.0,0.36,0.5,0.48,0.57,0.0,0.07
beast-mcmc.csv,0.53,0.54,0.25,0.66,0.59,0.58,0.38,0.65,0.29,0.85,0.93,0.65,0.29,0.3,0.55,0.43,0.78,0.75,0.04
bigdata.csv,0.42,0.57,0.28,0.69,0.58,0.58,0.39,0.6,0.25,0.94,0.92,0.64,0.31,0.38,0.71,0.39,0.69,0.69,0.04
codesmith.csv,0.28,0.39,0.26,0.66,0.51,0.45,0.33,0.47,0.0,0.76,0.96,0.42,0.27,0.14,0.36,0.41,0.87,0.65,0.17
coot.csv,0.16,0.72,0.13,0.6,1.0,0.42,0.37,0.36,0.25,0.77,0.87,0.25,0.0,0.26,0.75,0.32,0.77,0.0,0.06
cuberok.csv,0.33,0.61,0.13,0.59,0.54,0.41,0.58,0.37,0.21,0.74,0.89,0.41,0.3,0.24,0.43,0.35,0.5,0.74,0.05
icescrum.csv,0.49,0.58,0.31,0.82,0.52,0.62,0.5,0.66,0.42,0.86,0.92,0.67,0.24,0.37,0.57,0.74,0.77,0.71,0.1
jbasic.csv,0.32,0.47,0.18,0.68,0.5,0.54,0.48,0.66,0.31,0.78,0.93,0.55,0.29,0.35,0.55,0.4,0.57,0.73,0.09
jrefactory.csv,0.14,0.73,0.14,0.44,0.6,0.38,0.42,0.32,0.18,0.71,0.9,0.85,0.29,0.27,0.71,0.2,0.64,0.8,0.05
jsecurity.csv,0.43,0.42,0.39,0.7,0.55,0.59,0.33,0.67,0.27,0.83,0.95,0.73,0.43,0.12,0.67,0.67,0.73,0.68,0.5
kolmafia.csv,0.3,0.57,0.22,0.69,0.53,0.54,0.45,0.5,0.31,0.78,0.88,0.77,0.25,0.25,0.53,0.39,0.49,0.72,0.05
libopenmetaverse.csv,0.27,0.58,0.19,0.65,0.69,0.51,0.35,0.49,0.37,0.76,0.88,0.55,0.24,0.25,0.53,0.38,0.79,0.78,0.06
mevenide.csv,0.5,0.74,0.27,1.0,0.57,0.76,0.67,0.78,0.56,0.8,0.9,0.75,0.67,0.55,0.69,0.6,0.24,0.89,0.17
mobicents.csv,0.38,0.55,0.31,0.89,0.44,0.68,0.43,0.56,0.38,0.79,0.91,0.6,0.32,0.38,0.55,0.42,0.52,0.67,0.05
opendvr.csv,0.37,0.43,0.33,0.72,0.49,0.63,0.44,0.6,0.37,0.79,0.88,0.55,0.52,0.22,0.6,0.5,0.51,0.68,0.05
power-architect.csv,0.21,0.57,0.28,0.74,0.49,0.52,0.39,0.44,0.31,0.95,0.9,0.58,0.29,0.27,0.49,0.37,0.65,0.69,0.03
sidekar.csv,0.0,0.0,0.0,0.85,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.29,0.19,0.0,0.0,0.0,0.0,0.0
ta3d.csv,0.45,0.86,0.15,0.53,0.63,0.63,0.44,0.75,0.3,0.83,0.92,0.6,1.0,0.71,0.4,0.6,0.5,0.74,0.04
thedata.csv,0.27,0.6,0.18,0.64,0.5,0.48,0.33,0.48,0.35,0.76,0.88,0.51,0.29,0.19,0.57,0.7,0.64,0.7,0.67
