,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.77,0.25,0.21,0.42,0.36,0.34,0.05,0.71,0.84,0.59,0.33,0.79,0.0,0.17,0.05,0.58,0.12,0.0,0.25
beast-mcmc.csv,0.76,0.67,0.74,0.62,0.53,0.6,0.64,0.62,0.72,0.65,0.63,0.72,0.64,0.86,0.92,0.95,0.59,0.94,0.25
bigdata.csv,0.32,0.49,0.49,0.69,0.53,0.43,1.0,0.24,0.04,0.28,0.79,0.34,0.36,0.21,0.38,0.47,0.39,1.0,0.25
codesmith.csv,0.26,0.31,0.31,0.72,0.5,0.62,0.64,0.79,0.0,0.63,0.32,0.11,0.77,0.14,0.32,0.37,0.84,0.43,1.0
coot.csv,0.33,0.67,0.51,0.7,0.03,0.44,0.59,0.32,0.48,0.43,0.46,0.02,0.0,0.79,0.75,0.37,0.36,0.0,0.75
cuberok.csv,0.44,0.37,0.44,0.42,0.56,0.4,0.68,0.38,0.32,0.46,0.7,0.26,1.0,0.86,0.38,0.37,0.17,0.66,0.75
icescrum.csv,0.73,0.29,0.41,0.48,0.36,0.54,0.5,0.65,0.56,0.44,0.4,0.55,0.18,0.48,0.4,0.74,0.16,0.43,0.25
jbasic.csv,0.83,0.53,0.54,0.92,0.67,0.83,0.59,0.78,0.96,0.93,0.43,0.81,0.91,0.97,0.85,0.89,0.38,0.94,0.75
jrefactory.csv,0.35,0.63,0.56,0.28,0.08,0.24,0.59,0.21,0.28,0.09,0.18,0.23,0.32,0.69,0.6,0.21,0.91,0.34,0.75
jsecurity.csv,0.32,0.25,0.62,0.11,0.44,0.32,0.32,0.1,0.12,0.09,0.13,0.34,0.14,0.03,0.55,0.11,0.72,0.37,0.25
kolmafia.csv,0.89,0.92,0.95,0.83,0.64,0.83,0.95,0.97,1.0,0.91,0.81,0.7,0.32,1.0,0.82,1.0,0.33,0.66,0.75
libopenmetaverse.csv,0.98,1.0,1.0,1.0,0.61,0.99,0.73,1.0,0.96,0.81,1.0,0.66,0.27,1.0,1.0,1.0,0.72,0.83,1.0
mevenide.csv,0.18,0.27,0.15,0.14,0.11,0.18,0.27,0.22,0.2,0.07,0.18,0.13,0.09,0.76,0.22,0.32,0.06,0.23,0.25
mobicents.csv,0.85,0.51,0.46,0.5,0.61,0.68,0.91,0.9,0.56,0.57,0.6,0.81,0.95,0.52,0.92,0.89,0.22,0.8,0.75
opendvr.csv,0.83,0.43,0.64,0.64,0.94,0.66,0.73,0.59,0.44,0.96,0.82,1.0,0.73,0.31,0.7,0.84,0.34,0.8,0.25
power-architect.csv,0.53,0.88,0.9,0.83,0.92,0.87,1.0,0.35,0.76,0.76,0.75,0.91,1.0,0.76,0.65,1.0,1.0,1.0,0.5
sidekar.csv,0.0,0.0,0.0,0.8,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0
ta3d.csv,0.3,0.12,0.08,0.27,0.33,0.25,0.55,0.14,0.28,0.19,0.22,0.87,0.05,0.17,0.05,0.16,0.14,0.66,0.25
thedata.csv,0.73,0.63,0.46,0.7,0.31,0.62,0.55,0.84,0.68,0.72,0.63,0.81,0.45,0.48,0.7,0.37,0.28,0.91,1.0
