,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.54,0.77,0.8,0.62,0.73,0.7,0.95,0.44,0.36,0.64,0.77,0.68,1.0,0.83,0.95,0.56,0.89,1.0,0.78
beast-mcmc.csv,0.35,0.83,0.59,0.67,0.6,0.61,0.75,0.5,0.81,0.55,0.51,0.54,0.74,0.68,0.81,0.75,0.52,0.69,0.85
bigdata.csv,0.7,0.71,0.59,0.61,0.62,0.65,1.0,0.78,0.96,0.73,0.53,0.7,0.72,0.8,0.65,0.68,0.69,1.0,0.86
codesmith.csv,0.78,0.95,0.72,0.69,0.7,0.88,0.88,0.89,1.0,0.87,0.69,0.91,0.9,0.91,0.92,0.7,0.28,0.76,0.32
coot.csv,0.93,0.48,0.94,0.84,0.97,0.85,0.75,0.86,0.81,0.76,0.72,0.98,1.0,0.79,0.37,0.79,0.67,1.0,0.78
cuberok.csv,0.65,0.7,0.89,0.76,0.66,0.85,0.45,0.88,0.85,0.84,0.72,0.86,0.96,0.92,0.83,0.75,0.89,0.61,0.97
icescrum.csv,0.39,0.76,0.63,0.55,0.73,0.58,0.59,0.47,0.55,0.62,0.66,0.56,0.85,0.58,0.68,0.31,0.85,0.68,0.76
jbasic.csv,0.69,0.94,0.72,0.74,0.76,0.77,0.57,0.44,0.93,1.0,0.62,0.82,0.91,0.59,0.77,0.82,0.82,0.75,0.56
jrefactory.csv,1.02,0.49,0.89,0.94,0.92,0.86,0.66,0.9,0.92,0.92,0.84,0.77,0.75,0.68,0.48,0.93,0.98,0.68,0.89
jsecurity.csv,0.7,0.88,0.44,0.89,0.67,0.72,0.79,0.91,0.89,0.91,0.87,0.68,0.87,0.97,0.54,0.9,0.57,0.73,0.75
kolmafia.csv,0.8,0.92,0.79,0.65,0.68,0.76,0.74,0.94,0.97,1.0,0.83,0.39,0.79,0.97,0.8,0.94,0.93,0.66,0.97
libopenmetaverse.csv,1.0,0.97,1.0,0.92,0.48,1.0,0.9,1.0,0.71,1.02,1.0,0.73,0.81,1.0,0.97,0.97,0.45,0.53,1.0
mevenide.csv,0.82,0.74,0.85,0.86,0.89,0.82,0.73,0.78,0.8,0.93,0.84,0.87,0.91,0.32,0.78,0.7,1.01,0.77,0.75
mobicents.csv,0.55,0.74,0.59,0.51,0.89,0.46,0.78,0.67,0.59,0.71,0.59,0.67,0.83,0.56,0.81,0.73,0.87,0.9,0.91
opendvr.csv,0.55,0.95,0.47,0.55,1.0,0.53,0.63,0.56,0.65,1.0,0.83,0.97,0.39,0.77,0.59,0.52,0.9,0.84,0.82
power-architect.csv,0.88,0.9,0.55,0.53,0.97,0.85,1.0,0.78,0.76,0.28,0.67,0.8,1.0,0.73,0.81,1.0,1.0,1.0,1.12
sidekar.csv,1.0,1.0,1.0,0.31,1.0,1.0,0.69,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0
ta3d.csv,0.71,0.88,0.93,0.83,0.7,0.77,0.62,0.86,0.77,0.83,0.8,0.7,0.95,0.83,0.95,0.84,0.9,0.61,0.86
thedata.csv,0.79,0.67,0.73,0.72,0.76,0.81,0.82,0.89,0.62,0.9,0.72,0.94,0.71,0.86,0.64,0.64,0.78,0.88,0.03
