,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,391.0,376.0,291.5,192.0,197.0,97.5,0.0,370.0,197.0,293.5
clamav.csv,288.5,279.5,291.5,287.5,292.5,456.5,97.5,90.5,275.5,195.0
dvd-create.csv,671.5,376.0,291.5,192.0,98.5,97.5,52.5,370.0,98.5,293.5
gbif-indexingtoolkit.csv,95.5,663.5,293.5,192.0,98.5,178.0,0.0,95.5,197.0,293.5
go.csv,291.5,568.0,95.5,253.5,98.5,97.5,87.5,95.5,196.0,293.5
kwave.csv,390.0,468.5,489.5,173.0,197.0,97.5,24.5,387.5,197.0,195.0
libarchive.csv,488.5,376.0,390.5,786.5,197.0,97.5,97.5,95.5,195.0,195.0
liferea.csv,95.5,137.0,193.0,695.0,291.5,247.5,177.0,88.5,85.5,195.0
linux-ntfs.csv,488.5,277.5,489.5,695.0,197.0,97.5,364.0,95.5,98.5,192.0
mpgravity.csv,291.5,663.5,291.5,287.5,197.0,97.5,97.5,95.5,197.0,293.5
