,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.54,0.39,0.72,0.7,0.54,0.42,0.03,0.82,0.78,0.84,0.37,0.87,0.89,0.75,0.62
continuum-ide.csv,0.84,0.89,0.88,1.03,0.96,0.72,0.97,0.0,1.0,0.93,0.7,0.85,0.81,0.89,0.83
fleet-simulator.csv,0.44,0.58,0.69,1.08,0.57,1.31,0.77,0.72,0.67,0.87,0.57,0.47,0.0,0.71,0.87
hydrate.csv,0.83,1.0,0.83,1.0,0.87,1.01,1.0,0.7,0.95,0.85,0.52,0.86,0.81,0.88,0.09
ivef-sdk.csv,0.61,0.48,0.67,0.65,0.72,0.0,0.67,1.02,0.8,0.48,1.0,1.09,1.25,0.91,1.0
jmri.csv,0.78,0.66,0.06,0.75,0.73,0.99,1.0,0.73,0.72,0.55,0.53,0.83,0.98,0.88,0.97
kdenlive.csv,0.04,0.42,0.64,0.86,0.72,0.34,0.8,0.68,0.91,0.76,0.71,0.51,1.09,0.91,0.68
mia.csv,0.82,0.76,0.64,1.0,0.85,0.98,1.02,0.83,0.11,0.57,0.59,1.0,0.99,0.93,0.64
ontopia.csv,0.88,1.0,0.82,0.9,0.87,0.94,0.97,0.74,0.9,0.0,0.88,1.02,1.0,0.81,0.8
opentibia.csv,0.9,0.08,0.67,1.01,0.65,0.28,0.49,0.93,0.96,0.87,0.77,0.57,1.01,0.86,0.9
runuomondains.csv,0.76,0.9,0.81,0.73,0.71,1.13,0.94,0.88,0.94,0.96,0.0,0.89,0.96,0.98,0.79
somap.csv,0.89,1.0,0.95,0.8,0.94,1.31,0.91,0.92,0.83,1.0,0.94,0.01,1.0,1.0,0.95
taverna.csv,0.8,0.75,0.87,0.61,0.07,1.01,0.74,0.94,0.96,0.8,0.89,0.81,0.44,0.96,0.97
tigermud.csv,1.0,0.65,0.87,0.9,0.68,0.51,0.8,0.87,1.0,0.85,0.83,0.75,0.9,0.18,0.86
x-ray-mule.csv,0.65,0.81,0.73,0.03,0.71,0.54,0.87,0.78,0.77,0.84,0.92,0.81,0.69,0.71,0.84
