,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,185.0,66.5,74.5,288.5,179.0,192.0,98.5,96.5,96.5,295.0,97.5,292.0,190.0,196.0
awemud.csv,391.0,98.5,194.0,389.0,98.5,97.5,98.5,96.5,98.5,295.5,97.5,95.5,98.5,97.5
buddata-ebxml-registry.csv,488.5,98.5,290.5,98.5,98.5,986.5,98.5,96.5,99.0,295.0,97.5,390.5,98.5,394.0
cornerstone.csv,70.5,98.5,0.0,94.5,98.5,97.5,173.0,0.0,98.5,96.5,72.5,95.5,98.5,60.5
firebreath.csv,96.5,98.5,356.5,94.5,98.5,384.0,98.5,96.5,97.5,195.0,97.5,194.5,98.5,196.0
lsb.csv,194.0,98.5,290.5,292.5,98.5,888.0,98.5,362.0,99.0,97.5,97.5,194.0,89.5,97.5
maya-work-in-progress.csv,487.5,98.5,86.5,98.5,98.5,492.0,98.5,96.5,99.0,295.0,97.5,292.0,98.5,196.0
mia.csv,90.5,18.0,290.5,98.5,96.5,591.5,88.5,92.5,96.5,194.0,97.5,344.5,89.5,372.0
open-beos.csv,194.0,98.5,194.0,98.5,98.5,475.5,98.5,96.5,97.5,96.5,97.5,92.5,92.5,196.0
qgis.csv,184.0,98.5,456.5,96.5,98.5,394.5,98.5,96.5,99.0,294.0,97.5,292.0,98.5,196.0
rocrail.csv,195.0,42.0,194.0,98.5,98.5,274.5,98.5,96.5,97.5,196.5,97.5,95.5,98.5,196.0
rtb-team.csv,172.0,98.5,86.5,98.5,179.0,470.0,98.5,89.5,96.5,75.5,97.5,194.5,190.0,196.0
tradelink.csv,94.5,98.5,306.0,94.5,95.5,578.5,489.0,96.5,129.0,394.0,439.5,292.0,98.5,276.5
upp-mirror.csv,96.5,76.5,194.0,98.5,98.5,97.5,98.5,92.5,98.5,295.0,97.5,95.5,98.5,180.0
