,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.51,0.78,0.83,0.81,1.0,0.77,1.0,0.86,0.87,0.81
clamav.csv,0.63,0.54,0.61,0.65,0.52,0.89,0.61,0.32,0.83,0.58
dvd-create.csv,0.61,0.77,0.79,0.8,0.3,0.67,0.92,0.72,0.76,0.58
gbif-indexingtoolkit.csv,0.66,0.83,0.69,0.91,0.55,0.47,1.0,0.9,0.77,0.7
go.csv,0.71,0.86,0.35,0.59,0.75,0.88,0.67,0.69,0.88,0.64
kwave.csv,0.53,0.75,0.8,0.6,0.49,0.75,1.0,0.87,0.55,0.52
libarchive.csv,0.58,0.78,0.84,0.78,0.83,0.92,0.66,0.62,0.88,0.48
liferea.csv,0.56,0.41,0.51,0.81,0.57,0.91,0.82,0.49,0.59,0.55
linux-ntfs.csv,0.59,0.65,0.7,0.78,0.56,0.65,0.78,0.54,0.52,0.57
mpgravity.csv,0.81,0.93,0.47,0.79,0.85,0.92,0.22,0.73,0.9,0.81
