,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.43,0.51,0.91,0.49,0.63,0.44,0.73,0.58,0.76,0.5,0.55,0.49,0.42,0.42
autowikibrowser.csv,0.35,0.66,0.71,0.61,0.62,0.68,0.48,0.47,0.68,0.66,0.39,0.37,0.59,0.5
cities3d.csv,0.64,0.96,0.64,0.74,0.73,0.43,0.98,0.56,1.0,0.74,0.64,0.56,1.0,0.96
kmatplot.csv,0.34,0.93,0.76,0.72,0.66,0.66,0.83,0.71,1.0,0.73,0.62,0.66,0.75,0.62
libarchive.csv,0.74,0.81,0.5,0.58,0.84,0.57,0.66,0.48,0.67,0.68,0.58,0.64,0.65,0.39
lphant.csv,0.43,0.82,0.48,0.56,0.73,0.52,0.7,0.51,0.81,0.55,0.44,0.49,0.48,0.48
mob-sen-plat.csv,0.6,0.82,0.24,0.74,0.75,0.66,0.52,0.6,0.69,0.79,0.63,0.52,0.39,0.43
mscore.csv,0.76,0.93,0.5,0.86,0.98,0.61,0.58,0.42,0.72,0.62,0.82,0.72,0.74,0.67
pidgin.csv,0.68,0.72,0.88,0.57,0.7,0.46,0.42,0.52,0.76,0.62,0.66,0.72,0.55,0.64
quickfast.csv,0.61,0.84,0.8,0.6,0.7,0.84,0.85,0.83,0.75,0.72,0.91,0.97,0.31,0.84
raygina.csv,0.4,0.37,1.0,0.74,0.81,0.53,0.8,0.54,0.64,0.76,0.78,0.56,0.75,0.7
riff-evolve.csv,0.48,0.64,0.94,0.52,0.51,0.4,0.43,0.62,0.86,0.41,0.46,0.51,0.5,0.64
upp-mirror.csv,0.59,0.75,0.94,0.67,0.44,0.95,0.58,0.61,0.81,0.72,0.92,0.61,0.62,0.79
wishmaster.csv,0.67,0.82,0.83,0.7,0.58,0.69,0.82,0.67,0.31,0.86,0.59,0.65,0.64,0.88
