,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.75,0.66,0.11,0.64,0.6,0.73,0.62,0.49,0.44,0.67,0.72,0.67,0.71,0.77
autowikibrowser.csv,0.8,0.59,0.34,0.65,0.66,0.61,0.69,0.64,0.55,0.55,0.67,0.71,0.71,0.58
cities3d.csv,0.5,0.05,0.41,0.57,0.37,0.69,0.02,0.51,0.0,0.33,0.45,0.55,0.0,0.05
kmatplot.csv,0.77,0.1,0.59,0.59,0.56,0.7,0.2,0.38,0.0,0.35,0.69,0.5,0.3,0.44
libarchive.csv,0.61,0.53,0.68,0.67,0.48,0.74,0.67,0.61,0.71,0.39,0.66,0.7,0.66,0.69
lphant.csv,0.67,0.52,0.67,0.62,0.6,0.79,0.63,0.63,0.49,0.59,0.66,0.78,0.64,0.6
mob-sen-plat.csv,0.68,0.51,0.83,0.61,0.59,0.66,0.71,0.69,0.5,0.55,0.67,0.71,0.75,0.66
mscore.csv,0.61,0.27,0.82,0.43,0.09,0.67,0.7,0.69,0.63,0.66,0.5,0.64,0.56,0.67
pidgin.csv,0.59,0.4,0.15,0.66,0.48,0.62,0.72,0.56,0.44,0.65,0.48,0.36,0.57,0.55
quickfast.csv,0.63,0.48,0.55,0.58,0.58,0.48,0.48,0.5,0.59,0.48,0.33,0.17,0.79,0.49
raygina.csv,0.72,0.75,0.0,0.31,0.26,0.57,0.24,0.54,0.47,0.29,0.55,0.53,0.3,0.66
riff-evolve.csv,0.68,0.48,0.07,0.65,0.63,0.73,0.64,0.43,0.24,0.69,0.68,0.61,0.58,0.42
upp-mirror.csv,0.51,0.36,0.07,0.43,0.71,0.06,0.51,0.47,0.25,0.37,0.11,0.47,0.52,0.26
wishmaster.csv,0.42,0.24,0.25,0.49,0.59,0.51,0.22,0.48,0.79,0.27,0.46,0.41,0.47,0.15
