,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,1.0,0.42,0.76,0.44,0.72,0.83,0.12,0.31,0.33,0.12,0.12,0.41,0.9,0.05,0.23,0.41,0.36,0.27,0.63,0.25
autofac.csv,0.98,0.4,0.86,0.85,0.67,0.72,0.41,0.33,0.5,0.11,0.13,0.26,0.71,0.07,0.17,0.71,0.24,0.64,0.63,0.65
avisynth2.csv,1.0,0.5,0.89,0.43,0.0,1.0,0.5,0.33,0.67,0.0,0.0,0.27,0.82,0.5,0.0,0.67,0.43,0.53,0.5,0.0
azureus.csv,0.98,0.4,0.74,0.45,0.54,0.76,0.3,0.34,0.37,0.08,0.23,0.59,0.8,0.06,0.11,0.37,0.32,0.26,0.61,0.64
coot.csv,0.97,0.17,0.0,0.6,0.51,0.7,0.31,0.34,0.35,0.09,0.16,0.25,0.58,0.0,0.1,0.12,0.15,0.0,0.62,0.72
dsworkbench.csv,1.0,0.56,0.89,0.64,0.73,0.88,0.33,0.42,0.62,0.1,0.17,0.18,0.83,0.0,1.0,0.61,0.3,0.67,0.71,0.44
forester-atv.csv,0.98,0.67,0.82,0.67,0.5,0.89,0.5,1.0,0.54,0.15,0.22,0.29,0.75,0.15,0.67,0.64,0.32,0.8,0.8,0.25
freelords.csv,1.0,0.4,0.83,0.54,0.55,0.82,0.48,0.34,0.43,0.13,0.21,0.27,0.83,0.06,0.22,0.53,0.32,0.45,0.64,0.59
gabel.csv,1.0,0.53,0.77,0.89,0.76,0.86,0.57,0.29,0.73,0.35,0.19,0.46,0.76,0.06,0.15,0.8,0.28,1.0,0.58,0.75
geotools.csv,0.97,0.44,0.81,0.54,0.56,0.81,0.41,0.32,0.47,0.1,0.18,0.26,0.71,0.05,0.17,0.47,0.43,0.29,0.64,0.52
gephex.csv,1.0,0.27,0.75,0.48,0.55,0.81,0.33,0.36,0.45,0.07,0.12,0.3,0.68,0.0,0.11,0.37,0.34,0.27,0.8,0.51
google-collections.csv,1.0,0.39,0.76,0.47,0.56,0.74,0.29,0.35,0.39,0.08,0.2,0.27,0.73,0.05,0.12,0.37,0.29,0.27,0.63,0.52
jpaul.csv,1.0,0.39,0.68,0.55,0.0,1.0,0.59,0.25,0.71,0.16,0.17,0.35,0.67,0.18,0.13,0.69,0.26,0.86,0.0,0.0
mycila.csv,0.97,0.5,0.79,0.45,0.54,0.74,0.24,0.3,0.36,0.11,0.5,0.33,0.72,0.03,0.13,0.25,0.33,0.12,0.64,0.6
neodatis-odb.csv,0.97,0.39,0.81,0.5,0.74,0.82,0.27,0.54,0.47,0.1,0.25,0.34,0.83,0.05,0.16,0.39,0.23,0.14,0.68,0.73
octet.csv,1.0,0.35,0.77,0.52,0.81,0.83,0.23,0.49,0.71,0.07,0.12,0.29,0.8,0.04,0.4,0.51,0.35,0.67,0.68,0.55
pokenetonline.csv,1.0,0.43,0.76,0.44,0.59,0.82,0.35,0.36,0.52,0.1,0.25,0.26,0.92,0.03,0.25,0.53,0.35,0.4,0.7,0.54
scenemonitor.csv,1.0,0.35,0.75,0.67,0.69,0.9,0.56,0.37,0.71,0.12,0.19,0.35,0.71,0.0,0.5,0.52,0.44,0.37,0.62,0.37
servicestack.csv,1.0,0.65,0.65,0.64,0.0,0.75,0.33,0.33,0.5,0.0,0.11,0.33,0.94,0.17,0.33,1.0,0.44,0.59,0.0,0.0
twostep.csv,1.0,0.45,0.75,0.5,0.66,0.84,0.46,0.32,0.53,0.13,0.23,0.31,0.77,0.05,0.15,0.78,0.32,0.38,0.65,0.68
