,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.18,0.35,0.15,0.73,0.26,0.6,1.0,0.09,0.27,0.14,0.25,0.21,0.09,0.14,0.2,0.09
galaxium.csv,0.04,0.06,0.18,0.0,0.15,0.04,0.12,0.45,0.13,0.94,0.5,0.11,0.15,0.2,0.2,0.39
hydrate.csv,0.17,0.18,0.33,0.03,0.22,0.09,0.06,0.82,0.17,0.6,0.88,0.14,0.48,0.43,0.6,1.0
ivef-sdk.csv,0.76,0.6,0.58,1.0,0.81,1.0,0.24,0.0,0.8,0.17,0.0,0.6,0.52,0.29,0.4,0.03
jmri.csv,0.68,0.55,0.95,0.67,0.48,0.67,0.45,0.41,0.77,0.31,0.62,0.15,0.42,0.54,0.2,0.42
jython.csv,0.75,0.59,0.8,0.97,0.59,0.94,0.73,1.0,0.9,0.29,0.5,0.79,0.64,0.71,0.6,0.27
kdenlive.csv,0.99,0.7,0.59,0.33,0.37,0.57,0.82,0.95,0.8,0.77,0.88,0.6,0.45,0.49,0.6,0.88
ninject.csv,0.34,0.24,0.16,0.2,0.15,0.0,0.09,0.18,0.1,0.54,0.38,0.06,0.06,0.2,1.0,0.48
ondex.csv,0.41,0.36,0.21,0.23,0.22,0.06,0.03,0.68,0.3,0.26,0.75,0.21,0.88,0.09,0.2,0.52
opentibia.csv,0.97,1.0,0.58,1.0,0.37,0.97,0.64,0.82,0.97,0.8,1.0,0.65,0.64,0.77,0.8,0.88
runuomondains.csv,0.28,0.17,0.02,0.17,0.22,0.04,0.0,0.32,0.43,0.23,0.88,0.06,0.21,0.11,0.2,0.24
somap.csv,1.0,1.0,0.98,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
taverna.csv,0.41,0.29,0.18,0.17,1.0,0.04,0.27,0.27,0.1,0.06,0.0,0.28,0.06,0.2,0.2,0.09
tigermud.csv,0.79,0.58,0.62,0.57,0.63,0.99,0.48,0.95,0.67,0.63,0.75,0.76,0.76,0.94,0.8,0.88
unbvision.csv,0.24,0.2,0.24,0.13,0.63,0.06,0.03,0.59,1.0,0.17,0.25,0.15,0.27,0.57,0.4,0.39
x-ray-mule.csv,0.35,0.2,0.19,0.97,0.3,0.06,0.36,0.05,0.6,0.03,0.12,0.31,0.24,0.06,0.4,0.0
