,campsoft.csv,beast-mcmc.csv,array4j.csv,continuum-ide.csv,jam-daq.csv,anaxagora.csv,nodal.csv,projectfactory.csv,roolo.csv,l2j.csv
anaxagora.csv,0.85,0.78,0.41,0.8,0.94,0.95,0.93,0.83,0.49,0.88
array4j.csv,0.89,0.93,0.93,0.53,0.75,0.94,0.72,0.88,0.86,0.9
beast-mcmc.csv,0.56,0.69,0.4,0.5,0.43,0.69,0.83,0.62,0.47,0.96
continuum-ide.csv,0.83,0.94,0.75,0.59,0.83,0.67,0.0,0.89,0.64,0.5
jam-daq.csv,0.93,0.78,0.52,0.47,0.5,0.68,0.93,0.55,0.75,0.97
l2j.csv,0.32,0.36,0.39,0.3,0.35,0.39,0.35,0.54,0.35,0.45
nodal.csv,0.58,0.92,0.73,0.86,0.6,0.67,0.73,0.89,0.64,0.97
projectfactory.csv,0.54,0.59,0.68,0.63,0.51,0.5,0.56,0.61,0.65,0.58
roolo.csv,0.91,0.97,0.64,0.75,0.68,0.9,0.53,0.83,0.8,0.75
