,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.4,0.48,0.44,0.55,0.66,0.57,0.46
encog-java.csv,0.61,0.96,0.67,0.97,0.83,0.52,0.88
galaxium.csv,0.44,0.51,0.54,0.38,0.53,0.38,0.49
h2database.csv,0.66,0.59,0.88,0.47,0.95,0.83,0.83
haphazard.csv,0.61,0.79,0.55,0.55,0.77,0.65,0.47
jaql.csv,0.39,0.54,0.65,0.44,0.46,0.37,0.67
raven-monitoring.csv,0.97,0.54,0.61,0.72,0.97,0.42,0.53
