,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.64,0.32,0.95,0.5,0.58,0.44,0.44,0.24,0.23,0.52,0.22,0.44,0.57,0.57
exordium.csv,0.38,0.16,0.22,0.1,1.0,0.36,0.62,0.24,0.26,0.43,0.25,0.23,0.2,0.13
google-caja.csv,0.74,0.63,0.62,0.9,0.84,0.8,0.88,0.99,0.87,0.72,0.45,0.8,0.71,0.63
hydrogen.csv,0.49,0.05,0.29,0.35,0.21,0.33,0.88,0.15,0.29,0.42,0.29,0.26,0.2,0.22
kmess.csv,0.62,0.26,0.37,0.7,0.63,0.53,0.69,0.26,0.33,0.55,0.25,0.66,0.98,0.56
kvs.csv,0.64,0.11,0.38,0.95,0.32,0.22,0.56,0.41,0.17,0.54,0.22,0.37,0.33,0.28
megameknet.csv,0.41,0.21,0.05,0.4,0.16,0.42,0.06,0.38,0.27,0.88,0.45,0.22,0.26,0.15
ns-3-dev-def-routing.csv,0.28,0.21,0.3,0.2,0.47,0.31,0.69,0.13,0.31,0.26,0.37,0.98,0.37,0.3
open-ms.csv,0.67,0.11,0.65,0.25,0.26,0.67,0.31,0.59,0.76,0.72,0.48,0.21,0.58,0.93
openmsx.csv,0.49,0.16,0.48,0.5,0.79,0.67,0.69,0.53,0.29,0.45,0.97,0.84,0.57,0.57
rezilla.csv,0.85,1.0,0.81,0.75,0.58,0.73,0.62,0.88,0.73,0.48,0.72,0.68,0.87,0.8
sauerbraten.csv,0.95,0.53,0.28,0.1,0.42,0.4,0.31,0.17,0.21,0.46,0.26,0.39,0.32,0.29
webdriver.csv,0.85,0.16,0.29,0.3,0.79,0.96,0.81,0.22,0.21,0.39,0.18,0.51,0.54,0.43
yafdotnet.csv,0.62,0.58,0.81,0.9,0.74,0.58,0.88,0.53,0.96,0.67,0.77,0.84,0.87,0.89
