,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.69,0.4,0.97,0.31,0.43,0.53,0.31,0.39,0.34,0.49,0.27,0.47,0.63,0.35
exordium.csv,0.47,0.14,0.3,0.15,1.0,0.47,0.28,0.38,0.35,0.48,0.31,0.36,0.31,0.17
google-caja.csv,0.67,0.45,0.6,0.41,0.48,0.6,0.28,0.99,0.61,0.42,0.45,0.58,0.69,0.34
hydrogen.csv,0.58,0.09,0.39,0.33,0.33,0.45,0.93,0.26,0.41,0.48,0.33,0.34,0.33,0.28
kmess.csv,0.7,0.33,0.45,0.42,0.45,0.55,0.35,0.4,0.42,0.46,0.31,0.5,0.99,0.35
kvs.csv,0.72,0.18,0.42,0.97,0.4,0.29,0.47,0.54,0.26,0.37,0.29,0.36,0.45,0.28
megameknet.csv,0.5,0.3,0.09,0.29,0.24,0.42,0.09,0.52,0.38,0.92,0.43,0.24,0.34,0.2
ns-3-dev-def-routing.csv,0.37,0.25,0.42,0.21,0.51,0.41,0.35,0.22,0.32,0.3,0.42,0.98,0.5,0.33
open-ms.csv,0.64,0.19,0.56,0.23,0.29,0.51,0.15,0.66,0.51,0.3,0.39,0.3,0.61,0.96
openmsx.csv,0.54,0.23,0.49,0.28,0.45,0.58,0.27,0.58,0.36,0.29,0.98,0.6,0.65,0.36
rezilla.csv,0.74,1.0,0.64,0.37,0.39,0.51,0.26,0.85,0.55,0.3,0.51,0.5,0.72,0.37
sauerbraten.csv,0.97,0.39,0.38,0.12,0.39,0.5,0.25,0.27,0.31,0.51,0.34,0.39,0.46,0.26
webdriver.csv,0.76,0.25,0.38,0.29,0.64,0.98,0.34,0.35,0.31,0.34,0.28,0.5,0.61,0.4
yafdotnet.csv,0.62,0.47,0.63,0.34,0.41,0.51,0.33,0.65,0.97,0.36,0.5,0.54,0.74,0.34
