,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.42,0.82,0.54,0.42,0.5,0.65,0.62,0.95,0.97,0.61,0.67,0.54,0.38,0.5
exordium.csv,0.52,0.8,0.94,0.83,0.74,0.87,0.84,0.87,0.88,0.81,0.97,0.96,0.97,0.98
google-caja.csv,0.36,0.44,0.4,0.31,0.49,0.36,0.56,0.35,0.37,0.48,0.46,0.42,0.41,0.46
hydrogen.csv,0.54,0.75,0.69,0.59,0.8,0.67,0.86,0.93,0.8,0.62,0.75,0.66,0.86,0.93
kmess.csv,0.4,0.91,0.57,0.51,0.62,0.57,0.59,0.7,0.81,0.71,0.79,0.49,0.49,0.57
kvs.csv,0.43,0.67,0.65,0.84,0.73,0.78,0.55,0.53,0.97,0.65,0.72,0.59,0.61,0.77
megameknet.csv,0.56,0.88,0.92,0.69,0.83,0.65,0.86,0.53,0.83,0.68,0.61,0.87,0.86,0.98
ns-3-dev-def-routing.csv,0.7,0.92,0.81,0.94,0.75,0.78,0.68,0.92,0.76,0.92,0.88,0.62,0.61,0.92
open-ms.csv,0.38,0.5,0.58,0.96,0.81,0.51,0.92,0.5,0.41,0.52,0.54,0.97,0.65,0.87
openmsx.csv,0.48,0.86,0.66,0.59,0.6,0.53,0.57,0.52,0.84,0.67,0.67,0.45,0.58,0.65
rezilla.csv,0.34,0.68,0.43,0.36,0.5,0.42,0.54,0.34,0.41,0.59,0.43,0.45,0.42,0.41
sauerbraten.csv,0.41,0.5,0.78,0.93,0.64,0.59,0.79,0.89,0.97,0.65,0.94,0.64,0.84,0.89
webdriver.csv,0.33,0.8,0.76,0.71,0.54,0.53,0.67,0.9,0.97,0.82,0.95,0.58,0.54,0.76
yafdotnet.csv,0.47,0.54,0.49,0.42,0.51,0.6,0.57,0.53,0.53,0.6,0.46,0.42,0.44,0.41
