,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.49,0.7,0.05,0.68,0.56,0.59,0.6,0.76,0.78,0.51,0.83,0.63,0.6,0.61
exordium.csv,0.74,1.01,0.81,0.9,0.0,0.66,0.59,0.77,0.76,0.58,0.79,0.77,0.82,0.87
google-caja.csv,0.79,0.66,0.56,0.67,0.58,0.75,0.72,0.01,0.72,0.57,0.67,0.64,0.65,0.65
hydrogen.csv,0.59,0.95,0.74,0.68,0.79,0.68,0.12,0.85,0.71,0.59,0.79,0.76,0.8,0.78
kmess.csv,0.46,0.75,0.69,0.53,0.54,0.57,0.47,0.75,0.69,0.52,0.79,0.7,0.02,0.61
kvs.csv,0.42,0.9,0.75,0.05,0.69,0.81,0.46,0.66,0.84,0.61,0.81,0.76,0.71,0.74
megameknet.csv,0.7,0.8,0.96,0.7,0.84,0.76,0.94,0.68,0.74,0.12,0.71,0.87,0.87,0.86
ns-3-dev-def-routing.csv,0.81,0.82,0.71,0.82,0.54,0.71,0.48,0.87,0.83,0.75,0.68,0.03,0.66,0.71
open-ms.csv,0.75,0.89,0.73,0.79,0.76,0.86,0.82,0.72,0.9,0.96,0.87,0.8,0.67,0.07
openmsx.csv,0.72,0.85,0.7,0.74,0.61,0.63,0.62,0.94,0.75,0.72,0.03,0.65,0.54,0.59
rezilla.csv,0.72,0.0,0.73,0.65,0.64,1.0,0.63,0.6,0.7,0.71,0.81,0.76,0.92,0.68
sauerbraten.csv,0.05,0.73,0.74,0.91,0.63,0.62,0.71,0.85,0.8,0.55,0.76,0.73,0.69,0.75
webdriver.csv,0.64,0.84,0.75,0.73,0.31,0.04,0.51,0.79,0.8,0.67,0.82,0.59,0.59,0.6
yafdotnet.csv,0.7,0.6,0.76,0.9,0.68,0.71,0.55,0.56,0.04,0.69,0.92,0.85,0.83,0.85
