,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.45,0.52,0.15,0.86,0.6,0.24
arsenal-1.csv,0.7,0.13,0.7,0.05,0.08,0.59
barracudamvc.csv,0.73,0.91,0.96,0.86,1.0,0.55
mevenide.csv,0.56,0.39,0.3,0.05,0.16,0.72
mumble.csv,0.66,0.96,0.56,0.18,0.8,0.24
openintents.csv,0.33,0.65,0.81,0.95,0.32,0.59
