,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.59,0.45,0.69,0.61,0.46,0.54
empyrean.csv,0.6,0.0,0.0,0.0,0.0,0.88
impala.csv,0.62,0.67,0.93,0.86,0.71,0.54
multitude.csv,0.4,0.4,0.46,0.34,0.45,0.48
nutz.csv,0.58,0.58,0.53,0.58,0.51,0.44
pi-qmc.csv,0.52,0.4,0.48,0.38,0.51,0.54
