,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.78,0.8,0.93,0.81,0.05,0.93
l2j.csv,0.73,0.54,0.85,0.5,0.54,0.01
mule.csv,0.0,0.78,0.91,0.63,0.67,0.75
springside.csv,0.65,0.02,0.67,0.38,0.55,0.59
swtfox.csv,0.86,0.93,0.07,0.89,0.83,0.84
twostep.csv,0.76,0.72,0.66,0.04,0.54,0.7
