,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,1.0,0.69,0.11,0.5,0.8,0.44,0.59,0.17,0.0,0.5,0.0,1.0,0.09,0.31,1.0
chaperon.csv,0.96,0.48,0.07,0.32,1.0,0.29,0.43,0.0,0.5,0.41,0.02,1.0,0.05,0.11,0.47
co-ode-owl-plugins.csv,0.94,0.41,0.68,0.28,0.85,0.4,0.4,0.06,0.04,0.43,0.01,1.0,0.08,0.28,0.0
e-bio-flow.csv,1.0,0.47,0.12,0.53,0.81,0.61,0.6,0.12,0.0,0.19,0.03,1.0,0.0,0.43,0.44
free-evolution.csv,1.0,0.45,0.17,0.28,0.82,0.37,0.45,0.03,0.07,0.28,0.01,1.0,0.03,0.34,0.53
jaxlib.csv,1.0,0.38,0.36,0.4,0.85,0.33,0.59,0.4,0.05,0.23,0.02,1.0,0.03,0.33,0.5
jmonkeyengine.csv,0.85,0.29,0.09,0.57,0.85,0.31,0.46,0.12,0.07,0.26,0.0,0.99,0.11,0.2,0.32
jmule.csv,0.89,0.51,0.11,0.29,0.78,0.41,0.46,0.04,0.03,0.28,0.02,1.0,0.07,0.29,0.84
kaffeine.csv,0.98,0.5,0.11,0.31,0.79,0.41,0.42,0.04,0.12,0.32,0.02,1.0,0.08,0.27,0.56
nodal.csv,0.91,0.44,0.09,0.21,0.83,0.43,0.4,0.04,0.09,0.65,0.0,1.0,0.1,0.27,0.82
ogrehg.csv,1.0,0.54,0.24,0.32,0.84,0.36,0.6,0.06,0.0,0.29,0.0,0.99,0.1,0.39,1.0
onotoa.csv,1.0,0.33,0.67,0.29,0.88,0.33,0.38,0.0,0.0,0.45,0.0,1.0,0.11,0.32,0.0
papertoolkit.csv,1.0,0.44,0.2,0.4,0.85,0.31,0.48,0.06,0.0,0.33,0.0,1.0,0.21,0.42,0.47
