,project,f1,precision,recall,g-score,d2h,pci_20,ifa,pd,pf
0,bzbyte.csv,0.66,0.69,0.64,0.63,0.54,96.0,1.0,0.61,0.43
1,freedom-erp.csv,0.62,0.69,0.64,0.7,0.59,98.0,4.0,0.85,0.55
2,twostep.csv,0.58,0.58,0.58,0.48,0.63,95.0,3.0,0.45,0.23
