,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.09,0.4,0.42,0.83,0.31,0.33,0.95,0.27,0.95,1.0,0.0,0.05,0.67,0.83,0.95,0.21,0.27,0.44,0.38
dspace-gsoc.csv,0.11,0.37,0.31,0.76,0.26,0.22,0.95,0.47,0.83,0.96,0.08,0.07,0.81,0.38,0.98,0.33,0.06,0.75,0.4
grisbi.csv,0.09,0.4,0.23,0.83,0.26,0.3,0.96,0.24,0.83,0.97,0.11,0.07,0.67,0.39,0.98,0.28,0.08,0.61,0.39
maidsafe-dht.csv,0.17,0.48,0.23,0.77,0.39,0.34,0.95,0.25,0.97,0.93,0.0,0.06,0.68,0.74,1.0,0.2,0.07,0.7,0.44
mesa3d.csv,0.14,0.38,0.5,0.84,0.19,0.32,0.94,0.37,0.81,0.9,0.11,0.07,0.71,0.26,0.98,0.34,0.0,0.57,0.44
n2cms.csv,0.12,0.6,0.28,0.84,0.24,0.2,0.97,0.25,0.9,0.92,0.16,0.06,0.61,0.37,0.98,0.26,0.17,0.61,0.41
nassp.csv,0.0,0.48,0.31,0.59,0.44,0.32,0.94,0.48,0.88,1.0,0.0,0.05,0.8,1.0,0.95,0.26,0.19,0.73,0.44
ninject.csv,0.02,0.35,0.33,0.8,0.16,0.33,0.79,0.18,0.92,0.84,0.0,0.02,0.63,0.26,0.91,0.29,0.38,0.59,0.46
nug.csv,0.2,0.39,0.46,0.83,0.11,0.54,1.0,0.23,0.8,0.75,0.08,0.04,0.65,0.0,0.97,0.19,0.06,0.59,0.0
nuttx.csv,0.08,0.67,0.31,0.88,0.25,0.25,0.97,0.26,0.48,0.93,0.13,0.08,1.0,0.33,0.97,0.29,0.0,0.78,0.6
oorexx.csv,0.19,0.36,0.28,0.85,0.33,0.25,0.96,0.36,0.63,0.86,0.13,0.11,0.67,0.74,0.98,0.43,0.0,0.74,0.6
oppna-program-hsatools.csv,0.09,0.44,0.23,0.8,0.22,0.32,0.96,0.23,0.97,0.92,0.0,0.06,0.69,0.5,0.96,0.22,0.07,0.6,0.39
redshell.csv,0.07,0.38,0.21,0.86,0.18,0.3,0.99,0.13,0.8,0.67,0.09,0.03,0.5,0.41,0.97,0.13,0.04,0.52,0.41
super-tux.csv,0.14,0.4,0.19,0.79,0.24,0.37,0.96,0.26,0.75,0.76,0.11,0.06,0.63,0.41,1.0,0.21,0.1,0.61,0.46
tart.csv,0.0,0.35,0.19,0.62,0.27,0.27,0.94,0.33,0.84,0.85,0.11,0.21,0.58,0.39,0.98,0.19,0.05,0.6,0.75
tcvp.csv,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.27,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
vdsf.csv,0.22,0.43,0.21,0.77,0.18,0.21,0.96,0.2,0.84,0.82,0.14,0.07,0.65,0.4,0.95,0.2,0.08,0.58,0.39
web-cat.csv,0.06,0.39,0.29,0.82,0.22,0.29,0.96,0.2,0.83,0.82,0.11,0.07,0.6,0.4,0.98,0.25,0.1,0.63,0.79
zabbix.csv,0.17,0.4,0.29,0.78,0.3,0.26,0.96,0.39,0.84,0.83,0.1,0.11,0.62,0.57,0.98,0.19,0.08,0.65,0.52
