,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.47,0.4,0.34,0.0,0.0,0.16,0.26,0.54,0.21,0.56
aubit4gl.csv,0.06,0.37,0.22,0.0,0.7,0.09,0.43,0.05,0.61,0.31
liferea.csv,0.47,0.07,0.31,0.53,0.38,0.34,0.34,0.66,0.19,0.14
moving-pictures.csv,0.44,0.17,0.31,0.24,0.1,0.24,0.65,0.15,0.36,0.34
opensim4opencog.csv,0.5,0.1,0.34,0.44,0.63,0.31,0.55,0.6,0.53,0.36
plearn.csv,0.51,0.23,0.41,0.4,0.35,0.21,0.45,0.52,0.37,0.31
psrchive.csv,0.5,0.5,0.6,0.34,0.7,0.19,0.53,0.71,0.47,0.29
re2c.csv,0.35,0.92,0.26,0.27,0.31,0.13,0.58,0.43,0.52,0.16
rebecca-aiml.csv,0.42,0.29,0.33,0.38,0.69,0.23,0.65,0.59,0.76,0.41
xfce.csv,0.5,0.13,0.26,0.37,0.59,0.2,0.54,0.73,0.41,0.31
