,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.75,0.86,0.5,0.9,0.92,0.88,0.9,0.95,0.8,0.99,0.95
etherboot.csv,0.66,0.71,0.76,0.89,0.92,0.88,0.65,0.97,0.84,0.99,0.97
ffigo.csv,0.52,0.69,0.51,0.68,0.38,0.51,0.5,0.52,0.46,0.39,0.4
gebr.csv,0.49,0.4,0.42,0.45,0.35,0.46,0.36,0.37,0.39,0.34,0.34
gpac.csv,0.59,0.64,0.74,0.6,0.49,0.89,0.55,0.56,0.5,0.54,0.54
libtorrent.csv,0.35,0.36,0.44,0.4,0.32,0.47,0.36,0.37,0.37,0.37,0.31
miranda.csv,0.5,0.56,0.5,0.55,0.41,0.5,0.38,0.65,0.51,0.44,0.4
modellus.csv,0.45,0.6,0.61,0.45,0.52,0.55,0.48,0.48,0.66,0.58,0.37
mplayer-ce.csv,0.54,0.47,0.46,0.51,0.39,0.53,0.4,0.52,0.43,0.59,0.4
nicepress.csv,0.75,0.74,0.55,0.8,0.64,0.68,0.94,0.91,0.89,0.61,0.58
vapor.csv,0.0,0.83,0.94,0.86,0.94,0.75,0.85,0.91,0.89,0.84,0.6
