,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.2,0.88,1.0,0.82,0.86,0.81,0.91,0.94,0.93,0.87,0.94
etherboot.csv,0.59,0.76,0.83,0.14,0.9,0.81,0.82,0.88,0.9,0.84,0.86
ffigo.csv,0.69,0.74,0.78,0.6,0.63,0.53,0.63,0.72,0.0,0.94,0.66
gebr.csv,0.87,0.78,0.78,0.78,0.73,0.12,0.68,0.81,0.59,0.87,0.79
gpac.csv,0.64,0.68,0.65,0.78,0.04,0.74,0.66,0.69,0.71,0.69,0.68
libtorrent.csv,0.53,0.73,0.7,0.77,0.9,0.82,0.06,0.61,0.79,0.97,0.72
miranda.csv,0.84,0.74,0.47,0.76,0.77,0.53,0.6,0.66,0.51,0.65,0.04
modellus.csv,0.56,0.72,0.74,0.8,0.69,0.71,0.63,0.01,0.73,0.7,0.71
mplayer-ce.csv,0.9,0.76,0.83,0.91,0.84,0.99,1.02,0.87,0.86,0.02,0.81
nicepress.csv,1.0,0.75,0.03,1.0,0.75,0.74,0.82,0.98,0.94,0.72,0.71
vapor.csv,1.0,0.08,0.82,0.73,0.81,0.72,0.79,0.84,0.9,0.78,0.65
