,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.69,0.44,0.34,0.4,0.97,0.34,0.45,0.38,0.22,0.1,0.28,0.47
crisscross.csv,0.53,0.3,0.95,0.55,0.16,0.31,0.4,0.29,0.26,0.29,0.27,0.41
gabel.csv,0.19,0.27,0.0,0.21,0.0,0.19,0.13,0.06,0.93,0.0,0.1,0.09
jguard.csv,0.79,0.37,0.36,0.7,0.79,0.34,0.61,1.0,0.22,0.36,0.36,0.81
jitterbit.csv,0.66,0.15,0.37,0.33,0.33,0.98,0.41,0.27,0.22,0.06,0.23,0.5
mycila.csv,0.72,0.26,0.1,0.41,0.15,0.14,0.4,0.46,0.17,0.11,0.89,0.26
nova.csv,0.69,0.96,0.45,0.61,0.72,0.42,0.65,0.42,0.21,0.09,0.39,0.56
ontomorphtab.csv,0.86,0.48,0.38,0.94,0.71,0.32,0.69,0.48,0.25,0.2,0.38,0.62
tmva.csv,0.71,0.36,0.35,0.75,0.49,0.45,0.75,0.43,0.17,0.15,0.32,0.98
vienna-add-in.csv,0.99,0.37,0.3,0.49,0.68,0.35,0.99,0.33,0.07,0.35,0.3,0.56
vrjuggler.csv,0.14,0.17,0.08,0.31,0.23,0.33,0.48,0.19,0.1,0.9,0.27,0.12
wpdev.csv,1.0,0.32,0.28,0.76,0.73,0.43,0.8,0.52,0.15,0.36,0.32,0.85
