,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.53,0.36,0.64,0.33,0.95,0.39,0.37,0.37,0.53,0.07,0.43,0.38
crisscross.csv,0.41,0.42,0.92,0.45,0.11,0.37,0.33,0.24,0.54,0.35,0.34,0.31
gabel.csv,0.13,0.18,0.0,0.13,0.0,0.13,0.09,0.04,0.9,0.0,0.12,0.06
jguard.csv,0.62,0.0,0.69,0.65,0.54,0.47,0.52,1.0,0.75,0.09,0.66,0.74
jitterbit.csv,0.55,0.26,0.65,0.24,0.24,0.97,0.34,0.33,0.63,0.07,0.34,0.41
mycila.csv,0.0,0.27,0.12,0.34,0.11,0.12,0.32,0.54,0.29,0.14,0.83,0.18
nova.csv,0.0,0.93,0.53,0.55,0.64,0.55,0.58,0.46,0.74,0.14,0.61,0.47
ontomorphtab.csv,0.79,0.51,0.52,0.91,0.35,0.43,0.42,0.52,0.79,0.28,0.65,0.52
tmva.csv,0.55,0.27,0.64,0.68,0.42,0.64,0.65,0.54,0.59,0.27,0.58,0.98
vienna-add-in.csv,0.0,0.0,0.05,0.41,0.59,0.46,0.98,0.27,0.28,0.0,0.34,0.47
vrjuggler.csv,0.09,0.26,0.06,0.26,0.17,0.34,0.39,0.2,0.15,0.9,0.34,0.09
wpdev.csv,1.0,0.31,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
