,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.99,0.8,0.22,0.67,0.98,0.33,0.55,0.43,0.14,0.2,0.21,0.73
crisscross.csv,1.0,0.25,1.0,0.88,0.67,0.3,0.67,0.55,0.17,0.28,0.25,0.85
gabel.csv,0.94,1.0,0.0,1.0,0.0,0.54,0.86,1.0,1.0,0.0,0.09,0.89
jguard.csv,0.99,0.23,0.23,0.74,0.73,0.27,0.65,1.0,0.12,0.22,0.24,0.84
jitterbit.csv,1.0,0.12,0.25,0.88,0.82,0.99,0.66,0.24,0.14,0.06,0.19,0.86
mycila.csv,0.98,0.3,0.11,0.58,0.44,0.21,0.74,0.41,0.12,0.1,1.0,0.83
nova.csv,0.97,1.0,0.43,0.7,0.78,0.35,0.72,0.41,0.12,0.07,0.29,0.82
ontomorphtab.csv,1.0,0.5,0.32,1.0,0.67,0.26,0.64,0.35,0.15,0.16,0.24,0.84
tmva.csv,0.99,0.23,0.24,0.7,0.68,0.33,0.72,0.34,0.09,0.11,0.22,0.99
vienna-add-in.csv,0.99,0.23,0.18,0.72,0.74,0.29,1.0,0.54,0.04,0.21,0.3,0.8
vrjuggler.csv,1.0,0.13,0.33,0.5,0.67,0.35,0.74,0.21,0.08,0.93,0.25,0.79
wpdev.csv,1.0,0.2,0.17,0.62,0.67,0.27,0.67,0.35,0.08,0.22,0.19,0.73
