,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.0,0.11,0.16,0.05,0.13,0.16,0.03,0.0,0.08,0.0,1.0
fceugc.csv,0.06,0.29,0.17,0.95,0.32,0.31,0.26,0.08,0.31,0.12,0.2
flexpay.csv,0.22,0.29,0.89,0.1,0.29,0.52,0.7,0.69,0.27,0.65,0.29
jstock.csv,0.06,0.5,0.21,0.24,0.19,0.19,0.25,1.0,0.12,0.02,0.29
keyczar.csv,0.46,0.79,0.52,0.67,0.84,0.65,0.5,0.54,0.42,0.96,0.32
modellus.csv,0.17,0.46,0.46,0.38,0.42,0.98,0.36,0.23,0.31,0.38,0.05
open-data-kit.csv,0.36,0.46,0.56,0.57,0.35,0.69,0.97,0.54,0.27,0.31,0.76
phet.csv,0.88,0.61,0.29,0.48,0.32,0.29,0.61,0.77,0.62,0.88,0.61
qtractor.csv,0.43,0.96,0.51,0.19,0.45,0.58,0.49,0.46,0.23,0.12,0.32
sumatrapdf.csv,0.26,0.64,0.64,0.62,1.0,0.71,0.55,0.38,0.69,0.23,0.51
synergyspace.csv,0.14,0.0,0.19,0.05,0.23,0.19,0.12,0.08,0.88,0.08,0.0
