,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.05,0.08,0.18,0.0,0.0,0.02,0.16,0.07,0.04,0.0,0.09
fceugc.csv,0.19,0.12,0.14,0.02,0.33,0.06,0.0,0.19,0.18,0.0,0.3
flexpay.csv,0.31,0.38,0.0,0.4,0.16,0.67,0.91,0.65,0.13,0.73,0.35
jstock.csv,0.15,0.12,0.18,0.12,0.02,0.05,0.11,0.0,0.1,0.0,0.04
keyczar.csv,0.6,0.62,0.65,0.65,0.89,0.56,0.39,0.56,0.33,0.0,0.35
modellus.csv,0.29,0.12,0.32,0.09,0.22,0.0,0.14,0.09,0.18,0.33,0.09
open-data-kit.csv,0.55,0.38,0.57,0.53,0.25,0.52,0.02,0.28,0.35,0.13,0.61
phet.csv,0.0,0.79,0.27,0.7,0.87,0.62,0.84,0.84,0.68,0.8,0.7
qtractor.csv,0.51,0.0,0.44,0.21,0.29,0.34,0.25,0.3,0.25,0.07,0.3
sumatrapdf.csv,0.51,0.46,0.47,0.42,0.0,0.22,0.3,0.4,0.38,0.2,0.22
synergyspace.csv,0.14,0.04,0.18,0.16,0.2,0.06,0.18,0.16,0.0,0.07,0.04
