,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.9,0.8,0.97,0.0,0.75,0.94,0.89,0.67,0.83,0.0,0.51
fceugc.csv,0.98,0.73,0.99,0.57,0.68,0.81,0.95,0.89,0.96,0.83,0.87
flexpay.csv,0.8,0.94,0.99,0.89,0.89,0.52,0.47,0.41,0.95,0.57,0.9
jstock.csv,0.97,0.71,0.94,0.9,0.86,0.95,0.88,0.77,0.92,0.0,0.92
keyczar.csv,0.44,0.43,0.48,0.4,0.36,0.41,0.51,0.42,0.66,0.43,0.57
modellus.csv,0.76,0.69,0.63,0.92,0.72,0.48,0.7,0.86,0.81,0.65,0.75
open-data-kit.csv,0.51,0.5,0.5,0.51,0.68,0.45,0.43,0.63,0.57,0.53,0.47
phet.csv,0.98,0.56,0.91,0.55,0.47,0.68,0.52,0.35,0.62,0.44,0.61
qtractor.csv,0.48,0.48,0.55,0.92,0.6,0.46,0.6,0.53,0.61,0.86,0.6
sumatrapdf.csv,0.51,0.59,0.56,0.58,0.65,0.51,0.62,0.55,0.68,0.79,0.54
synergyspace.csv,0.98,0.0,0.99,0.88,0.89,0.95,0.94,0.88,0.96,0.8,0.0
