,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,289.0,0.0,1.0,0.0,0.0,0.0,3.0,55.0,4.0,62.0,0.0
fceugc.csv,3.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,2.0
flexpay.csv,1.0,4.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,2.0,0.0
jstock.csv,7.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
keyczar.csv,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
modellus.csv,3.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0
open-data-kit.csv,8.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
phet.csv,0.0,3.0,1.0,0.0,3.0,2.0,3.0,4.0,1.0,2.0,0.0
qtractor.csv,4.0,0.0,6.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
sumatrapdf.csv,5.0,2.0,1.0,3.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0
synergyspace.csv,0.0,51.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,63.0
