,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.0,0.18,0.16,0.09,0.23,0.27,0.05,0.0,0.12,0.0,0.98
fceugc.csv,0.07,0.41,0.18,0.95,0.34,0.46,0.42,0.09,0.31,0.22,0.29
flexpay.csv,0.2,0.36,0.94,0.1,0.37,0.48,0.63,0.36,0.3,0.69,0.39
jstock.csv,0.07,0.62,0.21,0.32,0.32,0.3,0.38,1.0,0.15,0.04,0.44
keyczar.csv,0.27,0.68,0.22,0.44,0.49,0.59,0.58,0.32,0.31,0.98,0.42
modellus.csv,0.17,0.59,0.31,0.48,0.46,0.99,0.5,0.3,0.31,0.51,0.09
open-data-kit.csv,0.23,0.52,0.26,0.43,0.39,0.62,0.98,0.44,0.21,0.46,0.72
phet.csv,0.94,0.53,0.23,0.33,0.22,0.3,0.58,0.34,0.29,0.82,0.61
qtractor.csv,0.28,0.98,0.28,0.24,0.46,0.61,0.6,0.37,0.21,0.22,0.43
sumatrapdf.csv,0.18,0.63,0.33,0.5,1.0,0.73,0.64,0.29,0.44,0.35,0.63
synergyspace.csv,0.18,0.0,0.19,0.07,0.29,0.3,0.19,0.1,0.94,0.15,0.0
