,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.61,0.0,0.4,0.13,0.17,0.66,0.52,0.79,0.45,0.73,0.3,0.24,0.63,0.67,0.0,0.09,0.24,0.0,0.0,0.0
bzbyte.csv,0.0,0.34,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.76,0.0,0.61,0.4
carabiner.csv,0.61,0.51,0.45,0.47,0.37,0.12,0.71,0.11,0.22,0.49,0.61,0.38,0.61,0.42,0.21,0.65,0.58,0.77,0.27,0.49
chipster.csv,0.44,0.3,0.67,0.49,0.31,0.42,0.88,0.52,0.48,0.66,0.56,0.53,0.04,0.63,0.33,0.0,0.15,0.31,0.33,0.49
continuum-ide.csv,0.0,0.13,0.15,0.23,0.37,0.4,0.76,0.23,0.22,0.3,0.2,0.3,0.09,0.57,0.33,0.65,0.44,0.11,0.2,0.17
ctrlr.csv,0.31,0.56,0.46,0.23,0.27,0.3,0.15,0.5,0.74,0.0,0.2,0.11,0.17,0.04,0.17,0.15,0.54,0.06,0.46,0.23
galaxium.csv,0.65,0.64,0.66,0.53,0.68,0.7,0.64,0.68,0.12,0.4,0.37,0.77,0.6,0.62,0.45,0.24,0.59,0.39,0.31,0.6
ingex.csv,0.32,0.57,0.54,0.69,0.64,0.74,0.42,0.56,0.06,0.61,0.36,0.62,0.58,0.65,0.57,0.26,0.42,0.45,0.3,0.5
itext.csv,0.61,0.49,0.67,0.54,0.74,0.63,0.6,0.67,0.31,0.0,0.51,0.7,0.51,0.75,0.0,0.27,0.63,0.45,0.45,0.69
jgnash.csv,0.49,0.32,0.49,0.62,0.63,0.58,0.67,0.37,0.66,0.54,0.34,0.7,0.6,0.48,0.33,0.75,0.66,0.41,0.37,0.67
jppf-project.csv,0.48,0.58,0.48,0.51,0.53,0.21,0.21,0.33,0.57,0.76,0.52,0.63,0.46,0.4,0.51,0.44,0.52,0.09,0.2,0.51
jsr308-langtools.csv,0.65,0.69,0.59,0.72,0.71,0.92,0.58,0.19,0.22,0.49,0.6,0.64,0.63,0.65,0.6,0.67,0.41,0.4,0.42,0.58
lite.csv,0.48,0.53,0.4,0.19,0.28,0.27,0.39,0.41,0.0,0.31,0.0,0.3,0.2,0.3,0.57,0.85,0.32,0.17,0.2,0.17
octet.csv,0.61,0.44,0.52,0.69,0.59,0.59,0.47,0.4,0.22,0.56,0.2,0.66,0.65,0.59,0.84,0.57,0.24,0.64,0.41,0.33
owfs.csv,0.58,0.55,0.58,0.52,0.52,0.43,0.36,0.61,0.22,0.36,0.45,0.63,0.52,0.78,0.57,0.73,0.56,0.73,0.36,0.54
sidekar.csv,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
stemkit.csv,0.21,0.34,0.27,0.47,0.36,0.48,0.07,0.29,0.28,0.27,0.69,0.2,0.32,0.39,0.0,0.09,0.11,0.17,0.49,0.33
ta3d.csv,0.0,0.37,0.45,0.55,0.34,0.72,0.28,0.62,0.56,0.45,0.05,0.34,0.0,0.57,0.53,0.16,0.23,0.26,0.33,0.62
tigermud.csv,0.43,0.37,0.46,0.27,0.48,0.44,0.51,0.43,0.0,0.5,0.2,0.59,0.12,0.63,0.54,0.5,0.48,0.53,0.67,0.3
utgb.csv,0.31,0.74,0.41,0.43,0.44,0.2,0.0,0.4,0.0,0.28,0.38,0.11,0.66,0.11,0.0,0.09,0.05,0.31,0.29,0.5
