,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,94.5,99.0,99.0,859.5,97.5,98.5,94.5,1611.5,294.5,96.5,96.5,251.5,98.5,97.5,98.5,89.5,99.0,281.5
cornerstone.csv,166.0,686.0,674.5,387.0,97.5,99.0,263.0,188.0,105.0,0.0,98.5,328.0,98.5,97.5,91.5,89.5,99.0,188.0
emeraldemu.csv,2445.5,198.0,198.0,8628.5,97.5,99.0,94.5,775.0,568.0,96.5,99.0,39.5,97.5,81.5,95.5,21.5,99.0,59.5
grafx2.csv,293.5,99.0,198.0,2578.0,97.5,99.0,97.5,2090.5,582.0,96.5,96.5,457.0,97.5,97.5,98.5,97.5,99.0,281.5
jahshakafx.csv,194.5,198.0,99.0,2019.5,97.5,98.5,94.5,1834.5,294.5,96.5,96.5,67.5,98.5,97.5,98.5,89.5,99.0,281.5
kindb.csv,194.5,495.0,99.0,3479.5,91.5,99.0,97.5,1920.5,690.0,96.5,99.0,62.5,99.0,97.5,98.5,97.5,99.0,59.5
maya-work-in-progress.csv,2445.5,297.0,99.0,1167.5,97.5,99.0,97.5,1618.5,591.0,96.5,99.0,581.0,99.0,97.5,98.5,97.5,99.0,380.5
netatalk.csv,876.0,99.0,198.0,9547.5,91.5,196.0,97.5,1330.5,493.0,96.5,99.0,387.0,97.5,97.5,97.5,183.0,99.0,281.5
novembre.csv,82.5,99.0,99.0,2672.5,91.5,294.5,97.5,1894.0,394.0,96.5,96.5,284.0,86.5,97.5,98.5,97.5,99.0,281.5
ns-3.csv,1076.0,395.0,488.0,3920.0,94.5,99.0,97.5,1632.5,294.5,96.5,98.5,1168.5,99.0,97.5,97.5,97.5,99.0,380.5
nullc.csv,2818.0,297.0,198.0,9880.5,97.5,99.0,94.5,923.0,97.5,96.5,99.0,504.0,99.0,97.5,98.5,97.5,99.0,79.5
open-beos.csv,194.5,297.0,198.0,4354.5,97.5,98.5,97.5,1144.0,288.5,96.5,186.0,972.0,98.5,97.5,95.5,97.5,99.0,380.5
planeshift.csv,3324.5,297.0,198.0,9933.0,191.0,99.0,97.5,2898.0,196.5,96.5,98.5,873.0,99.0,97.5,98.5,97.5,99.0,380.5
plee-the-bear.csv,95.5,99.0,99.0,471.0,97.5,294.5,92.5,2295.5,393.0,96.5,97.5,189.0,99.0,97.5,98.5,97.5,99.0,281.5
reaper-ecad.csv,166.0,198.0,99.0,1384.0,97.5,98.5,89.5,182.0,282.5,96.5,66.5,63.0,98.5,94.5,90.5,73.5,99.0,59.5
sbml.csv,285.5,99.0,198.0,5255.5,97.5,99.0,97.5,3467.0,97.5,96.5,98.5,577.5,98.5,97.5,97.5,97.5,99.0,281.5
unimrcp.csv,293.5,99.0,198.0,5810.0,97.5,99.0,97.5,1014.5,482.5,96.5,98.5,261.5,99.0,97.5,98.5,97.5,99.0,88.5
unladen-swallow.csv,92.5,99.0,382.0,255.0,91.5,288.5,97.5,1250.0,97.5,96.5,186.0,93.5,192.0,97.5,97.5,89.5,99.0,281.5
