,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.35,0.45,0.44,0.76,0.62,0.67,0.66,0.41,0.57,0.5,0.7,0.6,0.48,0.35,0.49,0.39,0.48,0.43
cornerstone.csv,0.55,0.75,0.88,0.75,0.79,0.8,1.01,0.81,0.99,1.0,0.4,0.48,0.8,0.66,0.95,0.42,0.65,0.64
emeraldemu.csv,0.61,0.52,0.56,0.9,0.84,0.84,0.62,0.38,0.67,0.38,0.76,0.93,0.74,0.98,0.51,0.91,0.49,0.93
grafx2.csv,0.4,0.45,0.48,0.37,0.67,0.73,0.55,0.43,0.61,0.37,0.68,0.52,0.57,0.32,0.66,0.28,0.58,0.34
jahshakafx.csv,0.29,0.43,0.45,0.56,0.7,0.75,0.6,0.42,0.52,0.57,0.63,0.6,0.48,0.37,0.45,0.35,0.46,0.43
kindb.csv,0.37,0.5,0.63,0.5,0.62,0.68,0.49,0.54,0.63,0.49,0.77,0.93,0.49,0.71,0.47,0.17,0.5,0.93
maya-work-in-progress.csv,0.71,0.48,0.49,0.53,0.73,0.63,0.82,0.68,0.81,0.3,0.83,0.77,0.81,0.84,0.73,0.5,0.75,0.87
netatalk.csv,0.56,0.62,0.65,0.96,0.77,0.66,0.61,0.58,0.67,0.67,0.73,0.65,0.58,0.49,0.58,0.56,0.7,0.41
novembre.csv,0.58,0.56,0.52,0.75,0.92,0.75,0.33,0.62,0.7,0.48,0.64,0.62,0.87,0.8,0.48,0.48,0.54,0.69
ns-3.csv,0.57,0.51,0.78,0.51,0.69,0.56,0.9,0.85,0.68,0.63,0.58,0.97,0.69,0.99,0.85,1.0,0.82,1.0
nullc.csv,0.75,1.0,1.0,0.99,0.35,0.61,0.57,0.55,0.64,0.75,0.72,0.65,0.67,0.58,0.52,0.49,0.74,0.69
open-beos.csv,0.39,0.46,0.4,0.53,0.57,0.63,0.54,0.57,0.44,0.51,0.7,0.92,0.57,0.95,0.42,1.0,0.52,0.79
planeshift.csv,0.81,0.87,0.89,0.98,0.85,0.62,0.75,0.61,0.78,0.68,0.7,0.77,0.38,0.4,0.68,0.57,0.93,0.76
plee-the-bear.csv,0.34,0.6,0.31,0.96,0.73,0.63,0.65,0.78,0.63,0.41,0.68,0.5,0.66,0.64,0.63,0.6,0.59,0.61
reaper-ecad.csv,0.48,0.47,0.45,0.39,0.68,0.88,0.74,0.62,0.78,0.97,0.8,1.0,0.63,0.72,0.62,0.74,0.49,0.86
sbml.csv,0.48,0.46,0.64,0.62,0.59,0.59,0.84,0.88,0.53,0.88,0.63,0.78,0.72,0.35,0.4,0.88,0.48,0.72
unimrcp.csv,0.41,0.7,0.54,0.61,0.63,0.69,0.66,0.48,0.59,0.34,0.88,0.43,0.6,0.48,0.45,0.28,0.64,0.41
unladen-swallow.csv,0.75,0.59,0.6,0.96,0.88,0.74,0.68,0.68,0.67,0.6,0.73,0.46,0.73,0.57,0.85,0.62,0.5,0.45
